feature	Condition1	Condition2	PercentChange	p	p.format
Firmicutes: unclassified Clostridiaceae	NF	OF	-8.9% [-28.3%, 15.7%]	1	1
Firmicutes: Streptococcus	NF	OF	121.1% [55.5%, 214.4%] *	0	0
Firmicutes: Dorea	NF	OF	0.0% [-39.2%, 64.5%]	1	1
Firmicutes: Lachnoclostridium	NF	OF	-26.1% [-43.1%, -4.0%] *	0	0
Firmicutes: Anaerotruncus	NF	OF	-48.9% [-68.9%, -16.0%] *	0	0
Firmicutes: Intestinimonas	NF	OF	-50.1% [-65.0%, -28.8%] *	0	0
Firmicutes: Blautia	NF	OF	-11.2% [-31.5%, 15.2%]	1	1
Firmicutes: Subdoligranulum	NF	OF	-39.5% [-56.4%, -16.1%] *	0	0
Firmicutes: Eubacterium	NF	OF	7.0% [-23.7%, 50.2%]	1	1
Firmicutes: unclassified Firmicutes sensu stri...	NF	OF	-24.6% [-48.3%, 9.8%]	1	1
Firmicutes: unclassified Lachnospiraceae	NF	OF	6.4% [-18.5%, 38.8%]	1	1
Firmicutes: Coprococcus	NF	OF	-41.3% [-63.5%, -5.4%] *	0	0
Firmicutes: Gemmiger	NF	OF	-34.5% [-54.2%, -6.3%] *	0	0
Firmicutes: unclassified Oscillospiraceae	NF	OF	-36.5% [-52.5%, -15.0%] *	0	0
Firmicutes: Flavonifractor	NF	OF	-54.8% [-68.6%, -35.0%] *	0	0
Firmicutes: Clostridiales: environmental samples	NF	OF	-35.5% [-51.2%, -14.7%] *	0	0
Firmicutes: Butyricicoccus	NF	OF	-33.5% [-56.5%, 1.7%]	1	1
Firmicutes: Ruminococcus	NF	OF	-14.1% [-39.4%, 21.6%]	1	1
Firmicutes: Oscillibacter	NF	OF	-42.3% [-54.5%, -26.9%] *	0	0
Firmicutes: Clostridium	NF	OF	-25.2% [-49.1%, 10.1%]	1	1
Firmicutes: Roseburia	NF	OF	-33.0% [-58.3%, 7.7%]	1	1
Firmicutes: Firmicutes: environmental samples	NF	OF	-35.6% [-56.1%, -5.5%] *	0	0
Firmicutes: unclassified Ruminococcaceae	NF	OF	-25.7% [-42.2%, -4.5%] *	0	0
Firmicutes: unclassified Clostridiales (miscel...	NF	OF	-33.2% [-53.2%, -4.7%] *	0	0
Firmicutes: Faecalibacterium	NF	OF	-35.2% [-55.4%, -5.8%] *	0	0
Proteobacteria: Sphingomonas	NF	OF	-51.7% [-64.4%, -34.6%] *	0	0
Proteobacteria: Methylobacterium	NF	OF	-60.7% [-71.3%, -46.3%] *	0	0
Proteobacteria: Pelomonas	NF	OF	-65.3% [-75.1%, -51.6%] *	0	0
Proteobacteria: Pseudomonas	NF	OF	-28.7% [-47.9%, -2.4%] *	0	0
Proteobacteria: Bilophila	NF	OF	-27.7% [-58.9%, 27.2%]	1	1
Proteobacteria: Sutterella	NF	OF	50.0% [-22.6%, 190.9%]	1	1
null: Viruses: environmental samples	NF	OF	-21.3% [-52.3%, 29.9%]	1	1
null: Tobamovirus	NF	OF	-47.4% [-73.1%, 3.1%]	1	1
Actinobacteria: Cutibacterium	NF	ZF	-88.1% [-94.2%, -75.9%] *	0	0
Actinobacteria: Corynebacterium	NF	ZF	-73.1% [-85.6%, -49.9%] *	0	0
Actinobacteria: Enterorhabdus	NF	ZF	22.1% [-19.7%, 85.9%]	1	1
Actinobacteria: Eggerthella	NF	ZF	-43.5% [-63.1%, -13.5%] *	0	0
Actinobacteria: Bifidobacterium	NF	ZF	-65.8% [-75.8%, -51.8%] *	0	0
Actinobacteria: Collinsella	NF	ZF	-39.2% [-66.3%, 9.9%]	1	1
Bacteroidetes: unclassified Rikenellaceae	NF	ZF	41.6% [-13.5%, 131.8%]	1	1
Bacteroidetes: Odoribacter	NF	ZF	235.5% [94.8%, 477.9%] *	0	0
Bacteroidetes: Parabacteroides	NF	ZF	136.7% [47.1%, 280.9%] *	0	0
Bacteroidetes: Prevotella	NF	ZF	53.6% [0.9%, 134.0%] *	0	0
Bacteroidetes: Alistipes	NF	ZF	42.7% [-2.3%, 108.5%]	1	1
Bacteroidetes: Bacteroides	NF	ZF	138.3% [50.9%, 276.3%] *	0	0
Basidiomycota: Malassezia	NF	ZF	-84.7% [-94.3%, -58.7%] *	0	0
Firmicutes: Staphylococcus	NF	ZF	-68.9% [-86.9%, -26.2%] *	0	0
Firmicutes: Weissella	NF	ZF	-84.4% [-92.5%, -67.4%] *	0	0
Firmicutes: Lachnospiraceae: environmental sam...	NF	ZF	-7.9% [-22.9%, 10.2%]	1	1
Firmicutes: unclassified Clostridiaceae	NF	ZF	18.6% [-14.0%, 63.6%]	1	1
Firmicutes: Streptococcus	NF	ZF	-33.1% [-60.0%, 11.8%]	1	1
Firmicutes: Dorea	NF	ZF	15.2% [-13.3%, 53.2%]	1	1
Firmicutes: Lachnoclostridium	NF	ZF	-25.7% [-37.7%, -11.5%] *	0	0
Firmicutes: Anaerotruncus	NF	ZF	-73.8% [-83.7%, -57.8%] *	0	0
Firmicutes: Intestinimonas	NF	ZF	-60.4% [-76.7%, -32.9%] *	0	0
Firmicutes: Blautia	NF	ZF	44.0% [8.2%, 91.7%] *	0	0
Firmicutes: Subdoligranulum	NF	ZF	-0.1% [-25.2%, 33.4%]	1	1
Firmicutes: Eubacterium	NF	ZF	11.5% [-26.4%, 69.0%]	1	1
Firmicutes: unclassified Firmicutes sensu stri...	NF	ZF	11.0% [-21.6%, 57.2%]	1	1
Firmicutes: unclassified Lachnospiraceae	NF	ZF	8.5% [-10.9%, 32.1%]	1	1
Firmicutes: Coprococcus	NF	ZF	8.3% [-18.9%, 44.7%]	1	1
Firmicutes: Gemmiger	NF	ZF	-5.8% [-25.3%, 18.8%]	1	1
Firmicutes: unclassified Oscillospiraceae	NF	ZF	-46.6% [-63.0%, -23.1%] *	0	0
Firmicutes: Flavonifractor	NF	ZF	-70.6% [-81.0%, -54.3%] *	0	0
Firmicutes: Clostridiales: environmental samples	NF	ZF	-26.8% [-38.3%, -13.3%] *	0	0
Firmicutes: Butyricicoccus	NF	ZF	-0.3% [-30.0%, 42.0%]	1	1
Firmicutes: Ruminococcus	NF	ZF	123.0% [66.6%, 198.3%] *	0	0
Firmicutes: Oscillibacter	NF	ZF	-53.2% [-62.3%, -41.9%] *	0	0
Firmicutes: Clostridium	NF	ZF	-27.5% [-49.7%, 4.6%]	1	1
Firmicutes: Roseburia	NF	ZF	-48.4% [-64.0%, -26.1%] *	0	0
Firmicutes: Firmicutes: environmental samples	NF	ZF	-0.5% [-20.3%, 24.3%]	1	1
Firmicutes: unclassified Ruminococcaceae	NF	ZF	17.1% [-1.7%, 39.5%]	1	1
Firmicutes: unclassified Clostridiales (miscel...	NF	ZF	9.3% [-19.9%, 49.2%]	1	1
Firmicutes: Faecalibacterium	NF	ZF	-40.2% [-60.4%, -9.6%] *	0	0
Proteobacteria: Sphingomonas	NF	ZF	-71.3% [-85.9%, -41.4%] *	0	0
Proteobacteria: Methylobacterium	NF	ZF	-78.0% [-88.6%, -57.4%] *	0	0
Proteobacteria: Pelomonas	NF	ZF	-86.6% [-92.7%, -75.5%] *	0	0
Proteobacteria: Pseudomonas	NF	ZF	-42.1% [-70.3%, 12.7%]	1	1
Proteobacteria: Bilophila	NF	ZF	-73.4% [-84.6%, -53.9%] *	0	0
Proteobacteria: Sutterella	NF	ZF	16.9% [-55.8%, 209.7%]	1	1
null: Viruses: environmental samples	NF	ZF	-49.9% [-77.1%, 9.7%]	1	1
null: Tobamovirus	NF	ZF	-78.5% [-90.0%, -53.9%] *	0	0
Actinobacteria: Cutibacterium	OF	OR	3871.1% [1056.6%, 13534.4%] *	0	0
Actinobacteria: Corynebacterium	OF	OR	1640.9% [592.3%, 4278.0%] *	0	0
Actinobacteria: Enterorhabdus	OF	OR	-45.0% [-77.1%, 32.1%]	1	1
Actinobacteria: Eggerthella	OF	OR	-12.8% [-50.0%, 52.0%]	1	1
Actinobacteria: Bifidobacterium	OF	OR	102.4% [40.5%, 191.5%] *	0	0
Actinobacteria: Collinsella	OF	OR	12.5% [-45.4%, 131.7%]	1	1
Bacteroidetes: unclassified Rikenellaceae	OF	OR	133.4% [39.4%, 290.8%] *	0	0
Bacteroidetes: Odoribacter	OF	OR	-67.4% [-81.8%, -41.6%] *	0	0
Bacteroidetes: Parabacteroides	OF	OR	-20.9% [-43.8%, 11.4%]	1	1
Bacteroidetes: Prevotella	OF	OR	100.4% [17.2%, 242.6%] *	0	0
Bacteroidetes: Alistipes	OF	OR	72.2% [29.0%, 129.8%] *	0	0
Bacteroidetes: Bacteroides	OF	OR	-45.5% [-62.8%, -20.2%] *	0	0
Basidiomycota: Malassezia	OF	OR	2554.4% [795.3%, 7769.4%] *	0	0
Firmicutes: Staphylococcus	OF	OR	1403.3% [422.0%, 4229.0%] *	0	0
Firmicutes: Weissella	OF	OR	2100.0% [689.1%, 6034.0%] *	0	0
Firmicutes: Lachnospiraceae: environmental sam...	OF	OR	32.2% [-28.2%, 143.4%]	1	1
Firmicutes: unclassified Clostridiaceae	OF	OR	-46.5% [-64.3%, -19.8%] *	0	0
Firmicutes: Streptococcus	OF	OR	-0.0% [-51.9%, 107.7%]	1	1
Firmicutes: Dorea	OF	OR	-5.8% [-43.3%, 56.6%]	1	1
Firmicutes: Lachnoclostridium	OF	OR	24.3% [-15.1%, 82.0%]	1	1
Firmicutes: Anaerotruncus	OF	OR	-63.7% [-77.6%, -41.2%] *	0	0
Firmicutes: Intestinimonas	OF	OR	-34.6% [-52.4%, -10.1%] *	0	0
Firmicutes: Blautia	OF	OR	-30.0% [-59.2%, 20.2%]	1	1
Firmicutes: Subdoligranulum	OF	OR	-18.9% [-42.0%, 13.3%]	1	1
Firmicutes: Eubacterium	OF	OR	-23.2% [-53.7%, 27.3%]	1	1
Firmicutes: unclassified Firmicutes sensu stri...	OF	OR	-31.0% [-56.0%, 8.2%]	1	1
Firmicutes: unclassified Lachnospiraceae	OF	OR	-5.5% [-40.6%, 50.3%]	1	1
Firmicutes: Coprococcus	OF	OR	14.5% [-26.3%, 77.9%]	1	1
Firmicutes: Gemmiger	OF	OR	-31.7% [-51.6%, -3.8%]	1	1
Firmicutes: unclassified Oscillospiraceae	OF	OR	38.6% [-8.8%, 110.5%]	1	1
Firmicutes: Flavonifractor	OF	OR	-15.5% [-42.1%, 23.4%]	1	1
Firmicutes: Clostridiales: environmental samples	OF	OR	-0.8% [-32.9%, 46.8%]	1	1
Firmicutes: Butyricicoccus	OF	OR	-9.7% [-51.4%, 67.7%]	1	1
Firmicutes: Ruminococcus	OF	OR	-40.8% [-58.6%, -15.4%] *	0	0
Firmicutes: Oscillibacter	OF	OR	-6.3% [-37.7%, 40.9%]	1	1
Firmicutes: Clostridium	OF	OR	2.1% [-42.3%, 80.6%]	1	1
Firmicutes: Roseburia	OF	OR	137.0% [7.5%, 422.8%]	1	1
Firmicutes: Firmicutes: environmental samples	OF	OR	10.5% [-26.8%, 66.9%]	1	1
Firmicutes: unclassified Ruminococcaceae	OF	OR	-27.8% [-47.4%, -0.9%]	1	1
Firmicutes: unclassified Clostridiales (miscel...	OF	OR	8.2% [-21.2%, 48.6%]	1	1
Firmicutes: Faecalibacterium	OF	OR	-72.0% [-81.0%, -58.7%] *	0	0
Proteobacteria: Sphingomonas	OF	OR	1280.5% [553.3%, 2817.2%] *	0	0
Proteobacteria: Methylobacterium	OF	OR	2087.1% [884.9%, 4756.7%] *	0	0
Proteobacteria: Pelomonas	OF	OR	2650.7% [1117.4%, 6115.4%] *	0	0
Proteobacteria: Pseudomonas	OF	OR	358.5% [125.0%, 834.0%] *	0	0
Proteobacteria: Bilophila	OF	OR	46.5% [-18.2%, 162.6%]	1	1
Proteobacteria: Sutterella	OF	OR	71.5% [-21.9%, 276.4%]	1	1
null: Viruses: environmental samples	OF	OR	1018.8% [429.2%, 2265.4%] *	0	0
null: Tobamovirus	OF	OR	271.9% [-9.0%, 1419.5%]	1	1
Actinobacteria: Cutibacterium	ZF	ZR	13.6% [-37.7%, 107.2%]	1	1
Actinobacteria: Corynebacterium	ZF	ZR	0.3% [-25.3%, 34.7%]	1	1
Actinobacteria: Enterorhabdus	ZF	ZR	9.5% [-19.5%, 49.1%]	1	1
Actinobacteria: Eggerthella	ZF	ZR	-8.4% [-35.9%, 31.0%]	1	1
Actinobacteria: Bifidobacterium	ZF	ZR	-29.4% [-50.9%, 1.4%]	1	1
Actinobacteria: Collinsella	ZF	ZR	-33.1% [-53.5%, -3.8%] *	0	0
Bacteroidetes: unclassified Rikenellaceae	ZF	ZR	11.5% [-13.4%, 43.6%]	1	1
Bacteroidetes: Odoribacter	ZF	ZR	17.1% [-11.5%, 55.1%]	1	1
Bacteroidetes: Parabacteroides	ZF	ZR	5.0% [-16.2%, 31.6%]	1	1
Bacteroidetes: Prevotella	ZF	ZR	7.9% [-10.9%, 30.7%]	1	1
Bacteroidetes: Alistipes	ZF	ZR	19.6% [-6.0%, 52.1%]	1	1
Bacteroidetes: Bacteroides	ZF	ZR	17.7% [-2.8%, 42.6%]	1	1
Basidiomycota: Malassezia	ZF	ZR	35.2% [-18.4%, 123.8%]	1	1
Firmicutes: Staphylococcus	ZF	ZR	-4.9% [-27.6%, 24.8%]	1	1
Firmicutes: Weissella	ZF	ZR	36.2% [-13.2%, 113.6%]	1	1
Firmicutes: Lachnospiraceae: environmental sam...	ZF	ZR	-15.0% [-32.4%, 6.8%]	1	1
Firmicutes: unclassified Clostridiaceae	ZF	ZR	-36.6% [-50.1%, -19.6%] *	0	0
Firmicutes: Streptococcus	ZF	ZR	-31.0% [-48.9%, -6.8%] *	0	0
Firmicutes: Dorea	ZF	ZR	-22.5% [-45.7%, 10.6%]	1	1
Firmicutes: Lachnoclostridium	ZF	ZR	-21.6% [-37.2%, -2.2%] *	0	0
Firmicutes: Anaerotruncus	ZF	ZR	-19.8% [-37.7%, 3.1%]	1	1
Firmicutes: Intestinimonas	ZF	ZR	-6.7% [-31.8%, 27.8%]	1	1
Firmicutes: Blautia	ZF	ZR	-33.6% [-55.0%, -2.1%] *	0	0
Firmicutes: Subdoligranulum	ZF	ZR	-33.5% [-47.6%, -15.7%] *	0	0
Firmicutes: Eubacterium	ZF	ZR	-18.4% [-36.0%, 4.1%]	1	1
Firmicutes: unclassified Firmicutes sensu stri...	ZF	ZR	-18.1% [-35.7%, 4.4%]	1	1
Firmicutes: unclassified Lachnospiraceae	ZF	ZR	-18.3% [-35.3%, 3.2%]	1	1
Firmicutes: Coprococcus	ZF	ZR	-21.3% [-42.7%, 8.2%]	1	1
Firmicutes: Gemmiger	ZF	ZR	-20.1% [-39.6%, 5.7%]	1	1
Firmicutes: unclassified Oscillospiraceae	ZF	ZR	-14.8% [-29.3%, 2.7%]	1	1
Firmicutes: Flavonifractor	ZF	ZR	-20.1% [-36.5%, 0.6%]	1	1
Firmicutes: Clostridiales: environmental samples	ZF	ZR	-22.2% [-35.2%, -6.6%] *	0	0
Firmicutes: Butyricicoccus	ZF	ZR	-19.4% [-38.6%, 5.7%]	1	1
Firmicutes: Ruminococcus	ZF	ZR	-26.9% [-40.3%, -10.5%] *	0	0
Firmicutes: Oscillibacter	ZF	ZR	-6.1% [-24.8%, 17.1%]	1	1
Firmicutes: Clostridium	ZF	ZR	-16.9% [-32.4%, 2.1%]	1	1
Firmicutes: Roseburia	ZF	ZR	-14.3% [-28.3%, 2.4%]	1	1
Firmicutes: Firmicutes: environmental samples	ZF	ZR	-27.0% [-44.8%, -3.3%] *	0	0
Firmicutes: unclassified Ruminococcaceae	ZF	ZR	-22.3% [-40.0%, 0.7%]	1	1
Firmicutes: unclassified Clostridiales (miscel...	ZF	ZR	-29.4% [-42.4%, -13.4%] *	0	0
Firmicutes: Faecalibacterium	ZF	ZR	-46.4% [-61.3%, -25.9%] *	0	0
Proteobacteria: Sphingomonas	ZF	ZR	4.2% [-19.2%, 34.5%]	1	1
Proteobacteria: Methylobacterium	ZF	ZR	-1.6% [-26.1%, 31.0%]	1	1
Proteobacteria: Pelomonas	ZF	ZR	25.8% [-4.1%, 65.0%]	1	1
Proteobacteria: Pseudomonas	ZF	ZR	-4.9% [-22.0%, 15.9%]	1	1
Proteobacteria: Bilophila	ZF	ZR	23.7% [-18.6%, 88.1%]	1	1
Proteobacteria: Sutterella	ZF	ZR	63.9% [12.5%, 139.0%] *	0	0
null: Viruses: environmental samples	ZF	ZR	45.1% [-5.6%, 123.0%]	1	1
null: Tobamovirus	ZF	ZR	25.2% [-13.0%, 80.2%]	1	1
Actinobacteria: Cutibacterium	ZF	ZH	1368.8% [828.2%, 2224.3%] *	0	0
Actinobacteria: Corynebacterium	ZF	ZH	433.8% [251.9%, 709.9%] *	0	0
Actinobacteria: Enterorhabdus	ZF	ZH	-91.2% [-96.1%, -80.2%] *	0	0
Actinobacteria: Eggerthella	ZF	ZH	-86.8% [-93.5%, -73.0%] *	0	0
Actinobacteria: Bifidobacterium	ZF	ZH	-66.5% [-81.2%, -40.4%] *	0	0
Actinobacteria: Collinsella	ZF	ZH	-91.3% [-95.9%, -81.4%] *	0	0
Bacteroidetes: unclassified Rikenellaceae	ZF	ZH	-5.1% [-33.4%, 35.1%]	1	1
Bacteroidetes: Odoribacter	ZF	ZH	33.9% [-3.6%, 86.0%]	1	1
Bacteroidetes: Parabacteroides	ZF	ZH	123.9% [79.7%, 178.8%] *	0	0
Bacteroidetes: Prevotella	ZF	ZH	114.2% [88.5%, 143.4%] *	0	0
Bacteroidetes: Alistipes	ZF	ZH	23.7% [-12.8%, 75.4%]	1	1
Bacteroidetes: Bacteroides	ZF	ZH	137.4% [91.9%, 193.6%] *	0	0
Basidiomycota: Malassezia	ZF	ZH	1017.7% [493.0%, 2006.7%] *	0	0
Firmicutes: Staphylococcus	ZF	ZH	536.1% [269.5%, 995.0%] *	0	0
Firmicutes: Weissella	ZF	ZH	921.0% [587.3%, 1416.6%] *	0	0
Firmicutes: Lachnospiraceae: environmental sam...	ZF	ZH	-52.4% [-75.1%, -9.2%] *	0	0
Firmicutes: unclassified Clostridiaceae	ZF	ZH	-74.1% [-85.7%, -53.1%] *	0	0
Firmicutes: Streptococcus	ZF	ZH	-28.7% [-65.9%, 49.4%]	1	1
Firmicutes: Dorea	ZF	ZH	-85.1% [-91.6%, -73.7%] *	0	0
Firmicutes: Lachnoclostridium	ZF	ZH	-37.0% [-57.4%, -6.7%] *	0	0
Firmicutes: Anaerotruncus	ZF	ZH	-42.3% [-64.8%, -5.4%] *	0	0
Firmicutes: Intestinimonas	ZF	ZH	-53.4% [-72.5%, -21.0%] *	0	0
Firmicutes: Blautia	ZF	ZH	-86.4% [-92.5%, -75.3%] *	0	0
Firmicutes: Subdoligranulum	ZF	ZH	-85.6% [-92.1%, -73.6%] *	0	0
Firmicutes: Eubacterium	ZF	ZH	-49.9% [-74.5%, -1.3%] *	0	0
Firmicutes: unclassified Firmicutes sensu stri...	ZF	ZH	-72.1% [-83.6%, -52.6%] *	0	0
Firmicutes: unclassified Lachnospiraceae	ZF	ZH	-75.4% [-85.5%, -58.2%] *	0	0
Firmicutes: Coprococcus	ZF	ZH	-83.4% [-90.4%, -71.2%] *	0	0
Firmicutes: Gemmiger	ZF	ZH	-88.0% [-92.7%, -80.1%] *	0	0
Firmicutes: unclassified Oscillospiraceae	ZF	ZH	-62.2% [-75.9%, -40.6%] *	0	0
Firmicutes: Flavonifractor	ZF	ZH	-50.7% [-71.1%, -15.9%] *	0	0
Firmicutes: Clostridiales: environmental samples	ZF	ZH	-67.9% [-81.4%, -44.8%] *	0	0
Firmicutes: Butyricicoccus	ZF	ZH	-84.9% [-91.9%, -71.7%] *	0	0
Firmicutes: Ruminococcus	ZF	ZH	-80.7% [-88.5%, -67.6%] *	0	0
Firmicutes: Oscillibacter	ZF	ZH	-35.3% [-53.6%, -9.8%] *	0	0
Firmicutes: Clostridium	ZF	ZH	-45.8% [-67.4%, -10.0%] *	0	0
Firmicutes: Roseburia	ZF	ZH	-61.5% [-75.5%, -39.5%] *	0	0
Firmicutes: Firmicutes: environmental samples	ZF	ZH	-80.8% [-89.5%, -65.0%] *	0	0
Firmicutes: unclassified Ruminococcaceae	ZF	ZH	-74.4% [-84.6%, -57.4%] *	0	0
Firmicutes: unclassified Clostridiales (miscel...	ZF	ZH	-59.5% [-72.2%, -40.9%] *	0	0
Firmicutes: Faecalibacterium	ZF	ZH	-50.9% [-69.7%, -20.7%] *	0	0
Proteobacteria: Sphingomonas	ZF	ZH	387.5% [169.4%, 782.2%] *	0	0
Proteobacteria: Methylobacterium	ZF	ZH	627.0% [378.9%, 1003.8%] *	0	0
Proteobacteria: Pelomonas	ZF	ZH	1407.0% [925.8%, 2113.9%] *	0	0
Proteobacteria: Pseudomonas	ZF	ZH	67.7% [21.0%, 132.2%] *	0	0
Proteobacteria: Bilophila	ZF	ZH	167.3% [55.0%, 360.7%] *	0	0
Proteobacteria: Sutterella	ZF	ZH	95.1% [22.3%, 211.2%] *	0	0
null: Viruses: environmental samples	ZF	ZH	-5.0% [-46.3%, 68.2%]	1	1
