feature	Condition	prediction	CI_low	CI_high
Relative Abundance: Unclassified + Root	ZH	0.065571379	0.043160901	0.09961807
Relative Abundance: Unclassified	NF	0.088752722	0.067802215	0.116176819
Relative Abundance: Unclassified	OF	0.084024812	0.058459357	0.120770556
Relative Abundance: Unclassified	OR	0.091124211	0.063694687	0.130366003
Relative Abundance: Unclassified	ZF	0.098296288	0.058426292	0.165373497
Relative Abundance: Unclassified	ZR	0.096052576	0.057284847	0.161056506
Relative Abundance: Unclassified	ZH	0.063560176	0.04159603	0.097122154
Richness 0.01%	NF	110.0733252	91.54070515	132.3579155
Richness 0.01%	OF	101.6264215	86.09918078	119.9538655
Richness 0.01%	OR	172.7085727	139.5344011	213.769872
Richness 0.01%	ZF	99.00549076	77.03341795	127.2446097
Richness 0.01%	ZR	96.70837806	74.5248208	125.4952415
Richness 0.01%	ZH	97.96318238	80.69793745	118.9223096
Shannon Entropy	NF	2.559850718	2.199966513	2.97860702
Shannon Entropy	OF	2.522565577	2.29866674	2.768273007
Shannon Entropy	OR	2.79142642	2.447021364	3.184304629
Shannon Entropy	ZF	2.585173684	2.350725606	2.843004286
Shannon Entropy	ZR	2.391987681	2.123545302	2.694364494
Shannon Entropy	ZH	1.813272722	1.403142028	2.343282361
Inv Simpson	NF	6.662657106	4.783617422	9.279797232
Inv Simpson	OF	6.173409912	5.032022989	7.57369154
Inv Simpson	OR	6.407418527	4.821368083	8.515220466
Inv Simpson	ZF	6.35679211	5.000838908	8.080405442
Inv Simpson	ZR	5.157006517	4.018366816	6.618289825
Inv Simpson	ZH	3.30867237	2.385861447	4.588410976
RNAConcentration	NF	152.0435582	118.2227373	195.5397424
RNAConcentration	OF	21.70770812	12.69193069	37.12788885
RNAConcentration	OR	10.90853541	8.169215058	14.56641108
RNAConcentration	ZF	8.344440466	6.404683795	10.87168218
RNAConcentration	ZR	7.895840272	6.459130969	9.652117893
RNAConcentration	ZH	21.85763131	16.15251548	29.57781077
Actinobacteria: Cutibacterium	NF	0.000135	NA	NA
Actinobacteria: Corynebacterium	NF	0.000285	NA	NA
Actinobacteria: Enterorhabdus	NF	0.000473	NA	NA
Actinobacteria: Eggerthella	NF	0.00106	NA	NA
Actinobacteria: Bifidobacterium	NF	0.006396	NA	NA
Actinobacteria: Collinsella	NF	0.003552	NA	NA
Bacteroidetes: unclassified Rikenellaceae	NF	0.000395	NA	NA
Bacteroidetes: Odoribacter	NF	0.000555	NA	NA
Bacteroidetes: Parabacteroides	NF	0.002598	NA	NA
Bacteroidetes: Prevotella	NF	0.000519	NA	NA
Bacteroidetes: Alistipes	NF	0.041704	NA	NA
Bacteroidetes: Bacteroides	NF	0.063423	NA	NA
Basidiomycota: Malassezia	NF	0.000668	NA	NA
Firmicutes: Staphylococcus	NF	0.000164	NA	NA
Firmicutes: Weissella	NF	0.00012	NA	NA
Firmicutes: Lachnospiraceae: environmental sam...	NF	0.000978	NA	NA
Firmicutes: unclassified Clostridiaceae	NF	0.001108	NA	NA
Firmicutes: Streptococcus	NF	0.000991	NA	NA
Firmicutes: Dorea	NF	0.001624	NA	NA
Firmicutes: Lachnoclostridium	NF	0.001624	NA	NA
Firmicutes: Anaerotruncus	NF	0.00134	NA	NA
Firmicutes: Intestinimonas	NF	0.001447	NA	NA
Firmicutes: Blautia	NF	0.003386	NA	NA
Firmicutes: Subdoligranulum	NF	0.004119	NA	NA
Firmicutes: Eubacterium	NF	0.004399	NA	NA
Firmicutes: unclassified Firmicutes sensu stri...	NF	0.003293	NA	NA
Firmicutes: unclassified Lachnospiraceae	NF	0.00537	NA	NA
Firmicutes: Coprococcus	NF	0.005467	NA	NA
Firmicutes: Gemmiger	NF	0.004675	NA	NA
Firmicutes: unclassified Oscillospiraceae	NF	0.003164	NA	NA
Firmicutes: Flavonifractor	NF	0.006324	NA	NA
Firmicutes: Clostridiales: environmental samples	NF	0.007285	NA	NA
Firmicutes: Butyricicoccus	NF	0.008907	NA	NA
Firmicutes: Ruminococcus	NF	0.015973	NA	NA
Firmicutes: Oscillibacter	NF	0.021786	NA	NA
Firmicutes: Clostridium	NF	0.020535	NA	NA
Firmicutes: Roseburia	NF	0.011958	NA	NA
Firmicutes: Firmicutes: environmental samples	NF	0.024236	NA	NA
Firmicutes: unclassified Ruminococcaceae	NF	0.02936	NA	NA
Firmicutes: unclassified Clostridiales (miscel...	NF	0.043516	NA	NA
Firmicutes: Faecalibacterium	NF	0.083801	NA	NA
Proteobacteria: Sphingomonas	NF	0.000158	NA	NA
Proteobacteria: Methylobacterium	NF	0.000148	NA	NA
Proteobacteria: Pelomonas	NF	0.000238	NA	NA
Proteobacteria: Pseudomonas	NF	0.000547	NA	NA
Proteobacteria: Bilophila	NF	0.001808	NA	NA
Proteobacteria: Sutterella	NF	0.000886	NA	NA
null: Viruses: environmental samples	NF	0.00088	NA	NA
null: Tobamovirus	NF	0.007675	NA	NA
