Sample	Genus	DNA_Abund	RNA_abund	Donor	Condition	Replicate
D01_NF_R2	Candidatus Peregrinibacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Portnoybacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Rokubacteria	0.00100012001440173	0.00300027002430219	D01	NF	R2
D01_NF_R2	Candidatus Saccharibacteria	0.00100012001440173	0.00100009000810073	D01	NF	R2
D01_NF_R2	Candidatus Sumerlaeota	0	0	D01	NF	R2
D01_NF_R2	Candidatus Sungbacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Wallbacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Woesearchaeota	0	0	D01	NF	R2
D01_NF_R2	Candidatus Woesebacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Yanofskybacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Zambryskibacteria	0	0	D01	NF	R2
D01_NF_R2	Chlamydiae	0.00100012001440173	0	D01	NF	R2
D01_NF_R2	Chlorobi	0	0.00100009000810073	D01	NF	R2
D01_NF_R2	Chloroflexi	0.0100012001440173	0.0310027902511226	D01	NF	R2
D01_NF_R2	Chytridiomycota	0.00100012001440173	0.00300027002430219	D01	NF	R2
D01_NF_R2	Crenarchaeota	0	0	D01	NF	R2
D01_NF_R2	Cryptomycota	0	0	D01	NF	R2
D01_NF_R2	Cyanobacteria	0.00300036004320518	0.0070006300567051	D01	NF	R2
D01_NF_R2	Deinococcus-Thermus	0.00200024002880346	0.00500045004050365	D01	NF	R2
D01_NF_R2	Elusimicrobia (74152)	0.00100012001440173	0.00400036003240292	D01	NF	R2
D01_NF_R2	Euryarchaeota	0.00600072008641037	0.0240021601944175	D01	NF	R2
D01_NF_R2	Fibrobacteres	0.00100012001440173	0.00100009000810073	D01	NF	R2
D01_NF_R2	Firmicutes	63.2005840700884	61.3065175865828	D01	NF	R2
D01_NF_R2	Fusobacteria	0.00200024002880346	0.00100009000810073	D01	NF	R2
D01_NF_R2	Gemmatimonadetes (142182)	0.00200024002880346	0.00500045004050365	D01	NF	R2
D01_NF_R2	Ignavibacteriae	0.00100012001440173	0.00100009000810073	D01	NF	R2
D01_NF_R2	Lentisphaerae	0.00100012001440173	0.00300027002430219	D01	NF	R2
D01_NF_R2	Microsporidia	0.00100012001440173	0.00900081007290656	D01	NF	R2
D01_NF_R2	Mucoromycota	0.00500060007200864	0.0410036903321299	D01	NF	R2
D01_NF_R2	Negarnaviricota	0	0	D01	NF	R2
D01_NF_R2	Nitrospinae	0	0.00100009000810073	D01	NF	R2
D01_NF_R2	Nitrospirae	0.00100012001440173	0.00300027002430219	D01	NF	R2
D01_NF_R2	Other	5.6843418860808e-14	0	D01	NF	R2
D01_NF_R2	Planctomycetes	0.00400048005760691	0.0240021601944175	D01	NF	R2
D01_NF_R2	Proteobacteria	1.65919910389247	5.11446030142713	D01	NF	R2
D01_NF_R2	Spirochaetes	0.00400048005760691	0.0100009000810073	D01	NF	R2
D01_NF_R2	Synergistetes	0.00100012001440173	0.00500045004050365	D01	NF	R2
D01_NF_R2	Tenericutes	0.048005760691283	0.0100009000810073	D01	NF	R2
D01_NF_R2	Thaumarchaeota	0	0	D01	NF	R2
D01_NF_R2	Thermotogae (200918)	0	0.00100009000810073	D01	NF	R2
D01_NF_R2	Verrucomicrobia	2.24026883225987	1.3671230410737	D01	NF	R2
D01_NF_R2	Zoopagomycota	0.00100012001440173	0.00200018001620146	D01	NF	R2
D01_NF_R3	Acidobacteria	0.00600066007260799	0.0200018001620146	D01	NF	R3
D01_NF_R3	Actinobacteria (201174)	2.88631749492444	1.73515616405477	D01	NF	R3
D01_NF_R3	Aquificae (200783)	0	0	D01	NF	R3
D01_NF_R3	Armatimonadetes	0.00100011001210133	0.00200018001620146	D01	NF	R3
D01_NF_R3	Ascomycota	0.0530058306413705	0.331029792681341	D01	NF	R3
D01_NF_R3	Bacteroidetes	25.7618338017182	46.1311518036623	D01	NF	R3
D01_NF_R3	Balneolaeota	0	0	D01	NF	R3
D01_NF_R3	Basidiomycota	0.012001320145216	0.24702223200088	D01	NF	R3
D01_NF_R3	Blastocladiomycota	0	0	D01	NF	R3
D01_NF_R3	Calditrichaeota	0	0	D01	NF	R3
D01_NF_R3	candidate division WOR-3	0	0.00100009000810073	D01	NF	R3
D01_NF_R3	candidate division Zixibacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Aminicenantes	0	0.00100009000810073	D01	NF	R3
D01_NF_R3	Candidatus Bathyarchaeota	0	0	D01	NF	R3
D01_NF_R3	Candidatus Dormibacteraeota	0	0.00400036003240292	D01	NF	R3
D01_NF_R3	Candidatus Edwardsbacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Eisenbacteria	0	0.00100009000810073	D01	NF	R3
D01_NF_R3	Candidatus Eremiobacteraeota	0	0.00300027002430219	D01	NF	R3
D01_NF_R3	Candidatus Handelsmanbacteria	0	0.00300027002430219	D01	NF	R3
D01_NF_R3	Candidatus Hydrogenedentes	0	0	D01	NF	R3
D01_NF_R3	Candidatus Kryptonia	0	0	D01	NF	R3
D01_NF_R3	Candidatus Latescibacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Magasanikbacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Marinimicrobia	0	0	D01	NF	R3
D01_NF_R3	Candidatus Melainabacteria	0.140015401694186	0.00300027002430219	D01	NF	R3
D01_NF_R3	Candidatus Moranbacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Nomurabacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Omnitrophica	0	0.00100009000810073	D01	NF	R3
D01_NF_R3	Candidatus Peregrinibacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Portnoybacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Rokubacteria	0.00100011001210133	0.00300027002430219	D01	NF	R3
D01_NF_R3	Candidatus Saccharibacteria	0.00100011001210133	0.00300027002430219	D01	NF	R3
D01_NF_R3	Candidatus Sumerlaeota	0	0	D01	NF	R3
D01_NF_R3	Candidatus Sungbacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Wallbacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Woesearchaeota	0	0	D01	NF	R3
D01_NF_R3	Candidatus Woesebacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Yanofskybacteria	0	0	D01	NF	R3
D01_NF_R3	Candidatus Zambryskibacteria	0	0	D01	NF	R3
D01_NF_R3	Chlamydiae	0.00100011001210133	0	D01	NF	R3
D01_NF_R3	Chlorobi	0	0	D01	NF	R3
D01_NF_R3	Chloroflexi	0.00900099010891198	0.037003330299727	D01	NF	R3
D01_NF_R3	Chytridiomycota	0.00100011001210133	0.00100009000810073	D01	NF	R3
D01_NF_R3	Crenarchaeota	0	0	D01	NF	R3
D01_NF_R3	Cryptomycota	0	0	D01	NF	R3
D01_NF_R3	Cyanobacteria	0.00300033003630399	0.00800072006480583	D01	NF	R3
D01_NF_R3	Deinococcus-Thermus	0.00100011001210133	0.00300027002430219	D01	NF	R3
D01_NF_R3	Elusimicrobia (74152)	0.00100011001210133	0.00400036003240292	D01	NF	R3
D01_NF_R3	Euryarchaeota	0.00500055006050666	0.0180016201458131	D01	NF	R3
D01_NF_R3	Fibrobacteres	0.00100011001210133	0.00100009000810073	D01	NF	R3
D01_NF_R3	Firmicutes	67.281400954105	47.4352691742257	D01	NF	R3
D01_NF_R3	Fusobacteria	0.00300033003630399	0.00100009000810073	D01	NF	R3
D01_NF_R3	Gemmatimonadetes (142182)	0.00200022002420266	0.00500045004050365	D01	NF	R3
D01_NF_R3	Ignavibacteriae	0.00100011001210133	0.00100009000810073	D01	NF	R3
D01_NF_R3	Lentisphaerae	0.00100011001210133	0.00400036003240292	D01	NF	R3
D01_NF_R3	Microsporidia	0.00100011001210133	0.00500045004050365	D01	NF	R3
D01_NF_R3	Mucoromycota	0.00800088009681065	0.0360032402916262	D01	NF	R3
D01_NF_R3	Negarnaviricota	0	0	D01	NF	R3
D01_NF_R3	Nitrospinae	0	0.00100009000810073	D01	NF	R3
D01_NF_R3	Nitrospirae	0.00100011001210133	0.00200018001620146	D01	NF	R3
D01_NF_R3	Other	-1.4210854715202e-14	-1.4210854715202e-14	D01	NF	R3
D01_NF_R3	Planctomycetes	0.00400044004840532	0.0190017101539139	D01	NF	R3
D01_NF_R3	Proteobacteria	1.45315984758323	2.94226480383235	D01	NF	R3
D01_NF_R3	Spirochaetes	0.00400044004840532	0.0070006300567051	D01	NF	R3
D01_NF_R3	Synergistetes	0.00100011001210133	0.0130011701053095	D01	NF	R3
D01_NF_R3	Tenericutes	0.0860094610407145	0.0100009000810073	D01	NF	R3
D01_NF_R3	Thaumarchaeota	0	0	D01	NF	R3
D01_NF_R3	Thermotogae (200918)	0	0	D01	NF	R3
D01_NF_R3	Verrucomicrobia	2.26824950744582	0.954085867728095	D01	NF	R3
D01_NF_R3	Zoopagomycota	0.00100011001210133	0.00300027002430219	D01	NF	R3
D01_OF_R1	Acidobacteria	0.00500030001800108	0.0190009500475024	D01	OF	R1
D01_OF_R1	Actinobacteria (201174)	1.69110146608797	1.76508825441272	D01	OF	R1
D01_OF_R1	Aquificae (200783)	0	0	D01	OF	R1
D01_OF_R1	Armatimonadetes	0.00100006000360022	0.00200010000500025	D01	OF	R1
D01_OF_R1	Ascomycota	0.0490029401764106	0.125006250312516	D01	OF	R1
D01_OF_R1	Bacteroidetes	35.7391443486609	40.15200760038	D01	OF	R1
D01_OF_R1	Balneolaeota	0	0	D01	OF	R1
D01_OF_R1	Basidiomycota	0.0120007200432026	0.0470023501175059	D01	OF	R1
D01_OF_R1	Blastocladiomycota	0	0	D01	OF	R1
D01_OF_R1	Calditrichaeota	0	0	D01	OF	R1
D01_OF_R1	candidate division WOR-3	0	0	D01	OF	R1
D01_OF_R1	candidate division Zixibacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Aminicenantes	0	0.00100005000250013	D01	OF	R1
D01_OF_R1	Candidatus Bathyarchaeota	0	0	D01	OF	R1
D01_OF_R1	Candidatus Dormibacteraeota	0	0.00300015000750038	D01	OF	R1
D01_OF_R1	Candidatus Edwardsbacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Eisenbacteria	0	0.00100005000250013	D01	OF	R1
D01_OF_R1	Candidatus Eremiobacteraeota	0	0.00200010000500025	D01	OF	R1
D01_OF_R1	Candidatus Handelsmanbacteria	0	0.00100005000250013	D01	OF	R1
D01_OF_R1	Candidatus Hydrogenedentes	0	0.00100005000250013	D01	OF	R1
D01_OF_R1	Candidatus Kryptonia	0	0	D01	OF	R1
D01_OF_R1	Candidatus Latescibacteria	0	0.00100005000250013	D01	OF	R1
D01_OF_R1	Candidatus Magasanikbacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Marinimicrobia	0	0	D01	OF	R1
D01_OF_R1	Candidatus Melainabacteria	0.0940056403384203	0.0130006500325016	D01	OF	R1
D01_OF_R1	Candidatus Moranbacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Nomurabacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Omnitrophica	0	0.00100005000250013	D01	OF	R1
D01_OF_R1	Candidatus Peregrinibacteria	0	0.00100005000250013	D01	OF	R1
D01_OF_R1	Candidatus Portnoybacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Rokubacteria	0.00100006000360022	0.00200010000500025	D01	OF	R1
D01_OF_R1	Candidatus Saccharibacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Sumerlaeota	0	0	D01	OF	R1
D01_OF_R1	Candidatus Sungbacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Wallbacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Woesearchaeota	0	0	D01	OF	R1
D01_OF_R1	Candidatus Woesebacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Yanofskybacteria	0	0	D01	OF	R1
D01_OF_R1	Candidatus Zambryskibacteria	0	0	D01	OF	R1
D01_OF_R1	Chlamydiae	0.00100006000360022	0.00100005000250013	D01	OF	R1
D01_OF_R1	Chlorobi	0	0.00100005000250013	D01	OF	R1
D01_OF_R1	Chloroflexi	0.00700042002520151	0.0230011500575029	D01	OF	R1
D01_OF_R1	Chytridiomycota	0.00100006000360022	0.00100005000250013	D01	OF	R1
D01_OF_R1	Crenarchaeota	0	0	D01	OF	R1
D01_OF_R1	Cryptomycota	0	0	D01	OF	R1
D01_OF_R1	Cyanobacteria	0.00300018001080065	0.00600030001500075	D01	OF	R1
D01_OF_R1	Deinococcus-Thermus	0.00100006000360022	0.00300015000750038	D01	OF	R1
D01_OF_R1	Elusimicrobia (74152)	0.00100006000360022	0.00300015000750038	D01	OF	R1
D01_OF_R1	Euryarchaeota	0.00500030001800108	0.024001200060003	D01	OF	R1
D01_OF_R1	Fibrobacteres	0.00100006000360022	0.00100005000250013	D01	OF	R1
D01_OF_R1	Firmicutes	60.8396503790227	52.4306215310766	D01	OF	R1
D01_OF_R1	Fusobacteria	0.00300018001080065	0.00100005000250013	D01	OF	R1
D01_OF_R1	Gemmatimonadetes (142182)	0.00100006000360022	0.0040002000100005	D01	OF	R1
D01_OF_R1	Ignavibacteriae	0.00100006000360022	0.00100005000250013	D01	OF	R1
D01_OF_R1	Lentisphaerae	0.00100006000360022	0.00200010000500025	D01	OF	R1
D01_OF_R1	Microsporidia	0.00100006000360022	0.0040002000100005	D01	OF	R1
D01_OF_R1	Mucoromycota	0.00800048002880173	0.00900045002250112	D01	OF	R1
D01_OF_R1	Negarnaviricota	0	0	D01	OF	R1
D01_OF_R1	Nitrospinae	0	0	D01	OF	R1
D01_OF_R1	Nitrospirae	0.00100006000360022	0.00200010000500025	D01	OF	R1
D01_OF_R1	Other	-1.4210854715202e-14	-2.8421709430404e-14	D01	OF	R1
D01_OF_R1	Planctomycetes	0.00300018001080065	0.0180009000450022	D01	OF	R1
D01_OF_R1	Proteobacteria	0.942056523391403	4.0002000100005	D01	OF	R1
D01_OF_R1	Spirochaetes	0.00400024001440086	0.00700035001750088	D01	OF	R1
D01_OF_R1	Synergistetes	0.00100006000360022	0.0040002000100005	D01	OF	R1
D01_OF_R1	Tenericutes	0.0910054603276196	0.0600030001500075	D01	OF	R1
D01_OF_R1	Thaumarchaeota	0	0	D01	OF	R1
D01_OF_R1	Thermotogae (200918)	0	0	D01	OF	R1
D01_OF_R1	Verrucomicrobia	0.490029401764106	1.25606280314016	D01	OF	R1
D01_OF_R1	Zoopagomycota	0.00100006000360022	0.00100005000250013	D01	OF	R1
D01_OF_R2	Acidobacteria	0.00500020000800032	0.0200022002420266	D01	OF	R2
D01_OF_R2	Actinobacteria (201174)	1.6180647225889	1.58617447919271	D01	OF	R2
D01_OF_R2	Aquificae (200783)	0	0	D01	OF	R2
D01_OF_R2	Armatimonadetes	0.00100004000160006	0.00300033003630399	D01	OF	R2
D01_OF_R2	Ascomycota	0.0490019600784031	0.21802398263809	D01	OF	R2
D01_OF_R2	Bacteroidetes	39.4505780231209	48.8533738711258	D01	OF	R2
D01_OF_R2	Balneolaeota	0	0	D01	OF	R2
D01_OF_R2	Basidiomycota	0.0120004800192008	0.0630069307623839	D01	OF	R2
D01_OF_R2	Blastocladiomycota	0	0	D01	OF	R2
D01_OF_R2	Calditrichaeota	0	0	D01	OF	R2
D01_OF_R2	candidate division WOR-3	0	0.00100011001210133	D01	OF	R2
D01_OF_R2	candidate division Zixibacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Aminicenantes	0	0.00100011001210133	D01	OF	R2
D01_OF_R2	Candidatus Bathyarchaeota	0	0	D01	OF	R2
D01_OF_R2	Candidatus Dormibacteraeota	0	0.00300033003630399	D01	OF	R2
D01_OF_R2	Candidatus Edwardsbacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Eisenbacteria	0	0.00100011001210133	D01	OF	R2
D01_OF_R2	Candidatus Eremiobacteraeota	0	0.00300033003630399	D01	OF	R2
D01_OF_R2	Candidatus Handelsmanbacteria	0	0.00100011001210133	D01	OF	R2
D01_OF_R2	Candidatus Hydrogenedentes	0	0	D01	OF	R2
D01_OF_R2	Candidatus Kryptonia	0	0	D01	OF	R2
D01_OF_R2	Candidatus Latescibacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Magasanikbacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Marinimicrobia	0	0	D01	OF	R2
D01_OF_R2	Candidatus Melainabacteria	0.111004440177607	0.0140015401694186	D01	OF	R2
D01_OF_R2	Candidatus Moranbacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Nomurabacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Omnitrophica	0	0.00100011001210133	D01	OF	R2
D01_OF_R2	Candidatus Peregrinibacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Portnoybacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Rokubacteria	0.00100004000160006	0.00300033003630399	D01	OF	R2
D01_OF_R2	Candidatus Saccharibacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Sumerlaeota	0	0	D01	OF	R2
D01_OF_R2	Candidatus Sungbacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Wallbacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Woesearchaeota	0	0	D01	OF	R2
D01_OF_R2	Candidatus Woesebacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Yanofskybacteria	0	0	D01	OF	R2
D01_OF_R2	Candidatus Zambryskibacteria	0	0	D01	OF	R2
D01_OF_R2	Chlamydiae	0.00100004000160006	0	D01	OF	R2
D01_OF_R2	Chlorobi	0	0	D01	OF	R2
D01_OF_R2	Chloroflexi	0.00600024000960038	0.0290031903509386	D01	OF	R2
D01_OF_R2	Chytridiomycota	0.00100004000160006	0.00100011001210133	D01	OF	R2
D01_OF_R2	Crenarchaeota	0	0.00100011001210133	D01	OF	R2
D01_OF_R2	Cryptomycota	0	0	D01	OF	R2
D01_OF_R2	Cyanobacteria	0.00300012000480019	0.00600066007260799	D01	OF	R2
D01_OF_R2	Deinococcus-Thermus	0.00100004000160006	0.00300033003630399	D01	OF	R2
D01_OF_R2	Elusimicrobia (74152)	0.00100004000160006	0.00400044004840532	D01	OF	R2
D01_OF_R2	Euryarchaeota	0.00500020000800032	0.0160017601936213	D01	OF	R2
D01_OF_R2	Fibrobacteres	0.00100004000160006	0.00100011001210133	D01	OF	R2
D01_OF_R2	Firmicutes	56.6232649305972	44.186860554661	D01	OF	R2
D01_OF_R2	Fusobacteria	0.00300012000480019	0.00100011001210133	D01	OF	R2
D01_OF_R2	Gemmatimonadetes (142182)	0.00100004000160006	0.00500055006050666	D01	OF	R2
D01_OF_R2	Ignavibacteriae	0.00100004000160006	0.00100011001210133	D01	OF	R2
D01_OF_R2	Lentisphaerae	0.00100004000160006	0.00200022002420266	D01	OF	R2
D01_OF_R2	Microsporidia	0.00100004000160006	0.00400044004840532	D01	OF	R2
D01_OF_R2	Mucoromycota	0.00900036001440058	0.0290031903509386	D01	OF	R2
D01_OF_R2	Negarnaviricota	0	0	D01	OF	R2
D01_OF_R2	Nitrospinae	0	0	D01	OF	R2
D01_OF_R2	Nitrospirae	0.00100004000160006	0.00300033003630399	D01	OF	R2
D01_OF_R2	Other	7.105427357601e-14	1.13686837721616e-13	D01	OF	R2
D01_OF_R2	Planctomycetes	0.00300012000480019	0.0190020902299253	D01	OF	R2
D01_OF_R2	Proteobacteria	1.07804312172487	3.84442288651752	D01	OF	R2
D01_OF_R2	Spirochaetes	0.00400016000640026	0.00800088009681065	D01	OF	R2
D01_OF_R2	Synergistetes	0.00100004000160006	0.00400044004840532	D01	OF	R2
D01_OF_R2	Tenericutes	0.148005920236809	0.0430047305203572	D01	OF	R2
D01_OF_R2	Thaumarchaeota	0	0	D01	OF	R2
