Well96,PCR_Replicate,Well384,Plate,SampleName,SampleNameFull
A1,Rep1,A1,Plate 4,D01_ZH_R1_10,D01_ZH_R1_10_Rep1
D2,Rep2,G4,Plate 4,D07_NF_R3_100,D07_NF_R3_100_Rep2
D2,Rep3,H3,Plate 4,D07_NF_R3_100,D07_NF_R3_100_Rep3
D2,Rep4,H4,Plate 4,D07_NF_R3_100,D07_NF_R3_100_Rep4
E2,Rep1,I3,Plate 4,D09_ZH_R1_100,D09_ZH_R1_100_Rep1
E2,Rep2,I4,Plate 4,D09_ZH_R1_100,D09_ZH_R1_100_Rep2
E2,Rep3,J3,Plate 4,D09_ZH_R1_100,D09_ZH_R1_100_Rep3
E2,Rep4,J4,Plate 4,D09_ZH_R1_100,D09_ZH_R1_100_Rep4
F2,Rep1,K3,Plate 4,D09_ZR_R1_100,D09_ZR_R1_100_Rep1
F2,Rep2,K4,Plate 4,D09_ZR_R1_100,D09_ZR_R1_100_Rep2
F2,Rep3,L3,Plate 4,D09_ZR_R1_100,D09_ZR_R1_100_Rep3
F2,Rep4,L4,Plate 4,D09_ZR_R1_100,D09_ZR_R1_100_Rep4
G2,Rep1,M3,Plate 4,standardB_10,000,standardB_10,000_Rep1
G2,Rep2,M4,Plate 4,standardB_10,000,standardB_10,000_Rep2
G2,Rep3,N3,Plate 4,standardB_10,000,standardB_10,000_Rep3
G2,Rep4,N4,Plate 4,standardB_10,000,standardB_10,000_Rep4
H2,Rep1,O3,Plate 4,standardF_10,000,standardF_10,000_Rep1
H2,Rep2,O4,Plate 4,standardF_10,000,standardF_10,000_Rep2
H2,Rep3,P3,Plate 4,standardF_10,000,standardF_10,000_Rep3
H2,Rep4,P4,Plate 4,standardF_10,000,standardF_10,000_Rep4
A3,Rep1,A5,Plate 4,D01_ZH_R1_1,000,D01_ZH_R1_1,000_Rep1
A3,Rep2,A6,Plate 4,D01_ZH_R1_1,000,D01_ZH_R1_1,000_Rep2
A3,Rep3,B5,Plate 4,D01_ZH_R1_1,000,D01_ZH_R1_1,000_Rep3
A3,Rep4,B6,Plate 4,D01_ZH_R1_1,000,D01_ZH_R1_1,000_Rep4
B3,Rep1,C5,Plate 4,D03_ZF_R3_1,000,D03_ZF_R3_1,000_Rep1
B3,Rep2,C6,Plate 4,D03_ZF_R3_1,000,D03_ZF_R3_1,000_Rep2
B3,Rep3,D5,Plate 4,D03_ZF_R3_1,000,D03_ZF_R3_1,000_Rep3
B3,Rep4,D6,Plate 4,D03_ZF_R3_1,000,D03_ZF_R3_1,000_Rep4
C3,Rep1,E5,Plate 4,D05_ZH_R3_1,000,D05_ZH_R3_1,000_Rep1
C3,Rep2,E6,Plate 4,D05_ZH_R3_1,000,D05_ZH_R3_1,000_Rep2
C3,Rep3,F5,Plate 4,D05_ZH_R3_1,000,D05_ZH_R3_1,000_Rep3
C3,Rep4,F6,Plate 4,D05_ZH_R3_1,000,D05_ZH_R3_1,000_Rep4
D3,Rep1,G5,Plate 4,D07_NF_R3_1,000,D07_NF_R3_1,000_Rep1
D3,Rep2,G6,Plate 4,D07_NF_R3_1,000,D07_NF_R3_1,000_Rep2
D3,Rep3,H5,Plate 4,D07_NF_R3_1,000,D07_NF_R3_1,000_Rep3
D3,Rep4,H6,Plate 4,D07_NF_R3_1,000,D07_NF_R3_1,000_Rep4
E3,Rep1,I5,Plate 4,D09_ZH_R1_1,000,D09_ZH_R1_1,000_Rep1
E3,Rep2,I6,Plate 4,D09_ZH_R1_1,000,D09_ZH_R1_1,000_Rep2
E3,Rep3,J5,Plate 4,D09_ZH_R1_1,000,D09_ZH_R1_1,000_Rep3
E3,Rep4,J6,Plate 4,D09_ZH_R1_1,000,D09_ZH_R1_1,000_Rep4
F3,Rep1,K5,Plate 4,D09_ZR_R1_1,000,D09_ZR_R1_1,000_Rep1
F3,Rep2,K6,Plate 4,D09_ZR_R1_1,000,D09_ZR_R1_1,000_Rep2
F3,Rep3,L5,Plate 4,D09_ZR_R1_1,000,D09_ZR_R1_1,000_Rep3
F3,Rep4,L6,Plate 4,D09_ZR_R1_1,000,D09_ZR_R1_1,000_Rep4
G3,Rep1,M5,Plate 4,standardB_100,000,standardB_100,000_Rep1
G3,Rep2,M6,Plate 4,standardB_100,000,standardB_100,000_Rep2
G3,Rep3,N5,Plate 4,standardB_100,000,standardB_100,000_Rep3
G3,Rep4,N6,Plate 4,standardB_100,000,standardB_100,000_Rep4
H3,Rep1,O5,Plate 4,standardF_100,000,standardF_100,000_Rep1
H3,Rep2,O6,Plate 4,standardF_100,000,standardF_100,000_Rep2
H3,Rep3,P5,Plate 4,standardF_100,000,standardF_100,000_Rep3
H3,Rep4,P6,Plate 4,standardF_100,000,standardF_100,000_Rep4
A4,Rep1,A7,Plate 4,D01_ZH_R1_10,000,D01_ZH_R1_10,000_Rep1
A4,Rep2,A8,Plate 4,D01_ZH_R1_10,000,D01_ZH_R1_10,000_Rep2
A4,Rep3,B7,Plate 4,D01_ZH_R1_10,000,D01_ZH_R1_10,000_Rep3
A4,Rep4,B8,Plate 4,D01_ZH_R1_10,000,D01_ZH_R1_10,000_Rep4
B4,Rep1,C7,Plate 4,D03_ZF_R3_10,000,D03_ZF_R3_10,000_Rep1
B4,Rep2,C8,Plate 4,D03_ZF_R3_10,000,D03_ZF_R3_10,000_Rep2
B4,Rep3,D7,Plate 4,D03_ZF_R3_10,000,D03_ZF_R3_10,000_Rep3
B4,Rep4,D8,Plate 4,D03_ZF_R3_10,000,D03_ZF_R3_10,000_Rep4
C4,Rep1,E7,Plate 4,D05_ZH_R3_10,000,D05_ZH_R3_10,000_Rep1
C4,Rep2,E8,Plate 4,D05_ZH_R3_10,000,D05_ZH_R3_10,000_Rep2
C4,Rep3,F7,Plate 4,D05_ZH_R3_10,000,D05_ZH_R3_10,000_Rep3
C4,Rep4,F8,Plate 4,D05_ZH_R3_10,000,D05_ZH_R3_10,000_Rep4
D4,Rep1,G7,Plate 4,D07_NF_R3_10,000,D07_NF_R3_10,000_Rep1
D4,Rep2,G8,Plate 4,D07_NF_R3_10,000,D07_NF_R3_10,000_Rep2
D4,Rep3,H7,Plate 4,D07_NF_R3_10,000,D07_NF_R3_10,000_Rep3
D4,Rep4,H8,Plate 4,D07_NF_R3_10,000,D07_NF_R3_10,000_Rep4
E4,Rep1,I7,Plate 4,D09_ZH_R1_10,000,D09_ZH_R1_10,000_Rep1
E4,Rep2,I8,Plate 4,D09_ZH_R1_10,000,D09_ZH_R1_10,000_Rep2
E4,Rep3,J7,Plate 4,D09_ZH_R1_10,000,D09_ZH_R1_10,000_Rep3
E4,Rep4,J8,Plate 4,D09_ZH_R1_10,000,D09_ZH_R1_10,000_Rep4
F4,Rep1,K7,Plate 4,D09_ZR_R1_10,000,D09_ZR_R1_10,000_Rep1
F4,Rep2,K8,Plate 4,D09_ZR_R1_10,000,D09_ZR_R1_10,000_Rep2
F4,Rep3,L7,Plate 4,D09_ZR_R1_10,000,D09_ZR_R1_10,000_Rep3
F4,Rep4,L8,Plate 4,D09_ZR_R1_10,000,D09_ZR_R1_10,000_Rep4
G4,Rep1,M7,Plate 4,standardB_1,000,000,standardB_1,000,000_Rep1
G4,Rep2,M8,Plate 4,standardB_1,000,000,standardB_1,000,000_Rep2
G4,Rep3,N7,Plate 4,standardB_1,000,000,standardB_1,000,000_Rep3
G4,Rep4,N8,Plate 4,standardB_1,000,000,standardB_1,000,000_Rep4
H4,Rep1,O7,Plate 4,standardF_1,000,000,standardF_1,000,000_Rep1
H4,Rep2,O8,Plate 4,standardF_1,000,000,standardF_1,000,000_Rep2
H4,Rep3,P7,Plate 4,standardF_1,000,000,standardF_1,000,000_Rep3
H4,Rep4,P8,Plate 4,standardF_1,000,000,standardF_1,000,000_Rep4
A5,Rep1,A9,Plate 4,D01_ZH_R1_100,000,D01_ZH_R1_100,000_Rep1
A5,Rep2,A10,Plate 4,D01_ZH_R1_100,000,D01_ZH_R1_100,000_Rep2
A5,Rep3,B9,Plate 4,D01_ZH_R1_100,000,D01_ZH_R1_100,000_Rep3
A5,Rep4,B10,Plate 4,D01_ZH_R1_100,000,D01_ZH_R1_100,000_Rep4
B5,Rep1,C9,Plate 4,D03_ZF_R3_100,000,D03_ZF_R3_100,000_Rep1
B5,Rep2,C10,Plate 4,D03_ZF_R3_100,000,D03_ZF_R3_100,000_Rep2
B5,Rep3,D9,Plate 4,D03_ZF_R3_100,000,D03_ZF_R3_100,000_Rep3
B5,Rep4,D10,Plate 4,D03_ZF_R3_100,000,D03_ZF_R3_100,000_Rep4
C5,Rep1,E9,Plate 4,D05_ZH_R3_100,000,D05_ZH_R3_100,000_Rep1
C5,Rep2,E10,Plate 4,D05_ZH_R3_100,000,D05_ZH_R3_100,000_Rep2
C5,Rep3,F9,Plate 4,D05_ZH_R3_100,000,D05_ZH_R3_100,000_Rep3
C5,Rep4,F10,Plate 4,D05_ZH_R3_100,000,D05_ZH_R3_100,000_Rep4
D5,Rep1,G9,Plate 4,D07_NF_R3_100,000,D07_NF_R3_100,000_Rep1
D5,Rep2,G10,Plate 4,D07_NF_R3_100,000,D07_NF_R3_100,000_Rep2
D5,Rep3,H9,Plate 4,D07_NF_R3_100,000,D07_NF_R3_100,000_Rep3
D5,Rep4,H10,Plate 4,D07_NF_R3_100,000,D07_NF_R3_100,000_Rep4
E5,Rep1,I9,Plate 4,D09_ZH_R1_100,000,D09_ZH_R1_100,000_Rep1
E5,Rep2,I10,Plate 4,D09_ZH_R1_100,000,D09_ZH_R1_100,000_Rep2
E5,Rep3,J9,Plate 4,D09_ZH_R1_100,000,D09_ZH_R1_100,000_Rep3
E5,Rep4,J10,Plate 4,D09_ZH_R1_100,000,D09_ZH_R1_100,000_Rep4
F5,Rep1,K9,Plate 4,D09_ZR_R1_100,000,D09_ZR_R1_100,000_Rep1
F5,Rep2,K10,Plate 4,D09_ZR_R1_100,000,D09_ZR_R1_100,000_Rep2
F5,Rep3,L9,Plate 4,D09_ZR_R1_100,000,D09_ZR_R1_100,000_Rep3
F5,Rep4,L10,Plate 4,D09_ZR_R1_100,000,D09_ZR_R1_100,000_Rep4
G5,Rep1,M9,Plate 4,standardB_10,000,000,standardB_10,000,000_Rep1
G5,Rep2,M10,Plate 4,standardB_10,000,000,standardB_10,000,000_Rep2
G5,Rep3,N9,Plate 4,standardB_10,000,000,standardB_10,000,000_Rep3
G5,Rep4,N10,Plate 4,standardB_10,000,000,standardB_10,000,000_Rep4
H5,Rep1,O9,Plate 4,standardF_10,000,000,standardF_10,000,000_Rep1
H5,Rep2,O10,Plate 4,standardF_10,000,000,standardF_10,000,000_Rep2
H5,Rep3,P9,Plate 4,standardF_10,000,000,standardF_10,000,000_Rep3
H5,Rep4,P10,Plate 4,standardF_10,000,000,standardF_10,000,000_Rep4
A6,Rep1,A11,Plate 4,D01_ZH_R1_1,000,000,D01_ZH_R1_1,000,000_Rep1
A6,Rep2,A12,Plate 4,D01_ZH_R1_1,000,000,D01_ZH_R1_1,000,000_Rep2
A6,Rep3,B11,Plate 4,D01_ZH_R1_1,000,000,D01_ZH_R1_1,000,000_Rep3
A6,Rep4,B12,Plate 4,D01_ZH_R1_1,000,000,D01_ZH_R1_1,000,000_Rep4
B6,Rep1,C11,Plate 4,D03_ZF_R3_1,000,000,D03_ZF_R3_1,000,000_Rep1
B6,Rep2,C12,Plate 4,D03_ZF_R3_1,000,000,D03_ZF_R3_1,000,000_Rep2
B6,Rep3,D11,Plate 4,D03_ZF_R3_1,000,000,D03_ZF_R3_1,000,000_Rep3
B6,Rep4,D12,Plate 4,D03_ZF_R3_1,000,000,D03_ZF_R3_1,000,000_Rep4
C6,Rep1,E11,Plate 4,D05_ZH_R3_1,000,000,D05_ZH_R3_1,000,000_Rep1
C6,Rep2,E12,Plate 4,D05_ZH_R3_1,000,000,D05_ZH_R3_1,000,000_Rep2
C6,Rep3,F11,Plate 4,D05_ZH_R3_1,000,000,D05_ZH_R3_1,000,000_Rep3
C6,Rep4,F12,Plate 4,D05_ZH_R3_1,000,000,D05_ZH_R3_1,000,000_Rep4
D6,Rep1,G11,Plate 4,D07_NF_R3_1,000,000,D07_NF_R3_1,000,000_Rep1
D6,Rep2,G12,Plate 4,D07_NF_R3_1,000,000,D07_NF_R3_1,000,000_Rep2
D6,Rep3,H11,Plate 4,D07_NF_R3_1,000,000,D07_NF_R3_1,000,000_Rep3
D6,Rep4,H12,Plate 4,D07_NF_R3_1,000,000,D07_NF_R3_1,000,000_Rep4
E6,Rep1,I11,Plate 4,D09_ZH_R1_1,000,000,D09_ZH_R1_1,000,000_Rep1
E6,Rep2,I12,Plate 4,D09_ZH_R1_1,000,000,D09_ZH_R1_1,000,000_Rep2
E6,Rep3,J11,Plate 4,D09_ZH_R1_1,000,000,D09_ZH_R1_1,000,000_Rep3
E6,Rep4,J12,Plate 4,D09_ZH_R1_1,000,000,D09_ZH_R1_1,000,000_Rep4
F6,Rep1,K11,Plate 4,D09_ZR_R1_1,000,000,D09_ZR_R1_1,000,000_Rep1
F6,Rep2,K12,Plate 4,D09_ZR_R1_1,000,000,D09_ZR_R1_1,000,000_Rep2
F6,Rep3,L11,Plate 4,D09_ZR_R1_1,000,000,D09_ZR_R1_1,000,000_Rep3
F6,Rep4,L12,Plate 4,D09_ZR_R1_1,000,000,D09_ZR_R1_1,000,000_Rep4
G6,Rep1,M11,Plate 4,standardB_100,000,000,standardB_100,000,000_Rep1
G6,Rep2,M12,Plate 4,standardB_100,000,000,standardB_100,000,000_Rep2
G6,Rep3,N11,Plate 4,standardB_100,000,000,standardB_100,000,000_Rep3
G6,Rep4,N12,Plate 4,standardB_100,000,000,standardB_100,000,000_Rep4
H6,Rep1,O11,Plate 4,standardF_100,000,000,standardF_100,000,000_Rep1
H6,Rep2,O12,Plate 4,standardF_100,000,000,standardF_100,000,000_Rep2
H6,Rep3,P11,Plate 4,standardF_100,000,000,standardF_100,000,000_Rep3
H6,Rep4,P12,Plate 4,standardF_100,000,000,standardF_100,000,000_Rep4
A7,Rep1,A13,Plate 4,water,water_Rep1
A7,Rep2,A14,Plate 4,water,water_Rep2
A7,Rep3,B13,Plate 4,water,water_Rep3
A7,Rep4,B14,Plate 4,water,water_Rep4
B7,Rep1,C13,Plate 4,buffer,buffer_Rep1
B7,Rep2,C14,Plate 4,buffer,buffer_Rep2
B7,Rep3,D13,Plate 4,buffer,buffer_Rep3
B7,Rep4,D14,Plate 4,buffer,buffer_Rep4
C7,Rep1,E13,NA,NA,NA_Rep1
C7,Rep2,E14,NA,NA,NA_Rep2
C7,Rep3,F13,NA,NA,NA_Rep3
C7,Rep4,F14,NA,NA,NA_Rep4
D7,Rep1,G13,NA,NA,NA_Rep1
D7,Rep2,G14,NA,NA,NA_Rep2
D7,Rep3,H13,NA,NA,NA_Rep3
D7,Rep4,H14,NA,NA,NA_Rep4
E7,Rep1,I13,NA,NA,NA_Rep1
E7,Rep2,I14,NA,NA,NA_Rep2
E7,Rep3,J13,NA,NA,NA_Rep3
E7,Rep4,J14,NA,NA,NA_Rep4
F7,Rep1,K13,NA,NA,NA_Rep1
F7,Rep2,K14,NA,NA,NA_Rep2
F7,Rep3,L13,NA,NA,NA_Rep3
F7,Rep4,L14,NA,NA,NA_Rep4
G7,Rep1,M13,NA,NA,NA_Rep1
G7,Rep2,M14,NA,NA,NA_Rep2
G7,Rep3,N13,NA,NA,NA_Rep3
G7,Rep4,N14,NA,NA,NA_Rep4
H7,Rep1,O13,NA,NA,NA_Rep1
H7,Rep2,O14,NA,NA,NA_Rep2
H7,Rep3,P13,NA,NA,NA_Rep3
H7,Rep4,P14,NA,NA,NA_Rep4
A8,Rep1,A15,NA,NA,NA_Rep1
A8,Rep2,A16,NA,NA,NA_Rep2
A8,Rep3,B15,NA,NA,NA_Rep3
A8,Rep4,B16,NA,NA,NA_Rep4
B8,Rep1,C15,NA,NA,NA_Rep1
B8,Rep2,C16,NA,NA,NA_Rep2
B8,Rep3,D15,NA,NA,NA_Rep3
B8,Rep4,D16,NA,NA,NA_Rep4
C8,Rep1,E15,NA,NA,NA_Rep1
C8,Rep2,E16,NA,NA,NA_Rep2
C8,Rep3,F15,NA,NA,NA_Rep3
C8,Rep4,F16,NA,NA,NA_Rep4
D8,Rep1,G15,NA,NA,NA_Rep1
D8,Rep2,G16,NA,NA,NA_Rep2
D8,Rep3,H15,NA,NA,NA_Rep3
D8,Rep4,H16,NA,NA,NA_Rep4
E8,Rep1,I15,NA,NA,NA_Rep1
E8,Rep2,I16,NA,NA,NA_Rep2
E8,Rep3,J15,NA,NA,NA_Rep3
E8,Rep4,J16,NA,NA,NA_Rep4
F8,Rep1,K15,NA,NA,NA_Rep1
F8,Rep2,K16,NA,NA,NA_Rep2
F8,Rep3,L15,NA,NA,NA_Rep3
F8,Rep4,L16,NA,NA,NA_Rep4
G8,Rep1,M15,NA,NA,NA_Rep1
G8,Rep2,M16,NA,NA,NA_Rep2
G8,Rep3,N15,NA,NA,NA_Rep3
G8,Rep4,N16,NA,NA,NA_Rep4
H8,Rep1,O15,NA,NA,NA_Rep1
H8,Rep2,O16,NA,NA,NA_Rep2
H8,Rep3,P15,NA,NA,NA_Rep3
H8,Rep4,P16,NA,NA,NA_Rep4
A9,Rep1,A17,NA,NA,NA_Rep1
A9,Rep2,A18,NA,NA,NA_Rep2
A9,Rep3,B17,NA,NA,NA_Rep3
A9,Rep4,B18,NA,NA,NA_Rep4
B9,Rep1,C17,NA,NA,NA_Rep1
B9,Rep2,C18,NA,NA,NA_Rep2
B9,Rep3,D17,NA,NA,NA_Rep3
B9,Rep4,D18,NA,NA,NA_Rep4
C9,Rep1,E17,NA,NA,NA_Rep1
C9,Rep2,E18,NA,NA,NA_Rep2
C9,Rep3,F17,NA,NA,NA_Rep3
C9,Rep4,F18,NA,NA,NA_Rep4
D9,Rep1,G17,NA,NA,NA_Rep1
D9,Rep2,G18,NA,NA,NA_Rep2
D9,Rep3,H17,NA,NA,NA_Rep3
D9,Rep4,H18,NA,NA,NA_Rep4
E9,Rep1,I17,NA,NA,NA_Rep1
E9,Rep2,I18,NA,NA,NA_Rep2
E9,Rep3,J17,NA,NA,NA_Rep3
E9,Rep4,J18,NA,NA,NA_Rep4
F9,Rep1,K17,NA,NA,NA_Rep1
F9,Rep2,K18,NA,NA,NA_Rep2
F9,Rep3,L17,NA,NA,NA_Rep3
F9,Rep4,L18,NA,NA,NA_Rep4
G9,Rep1,M17,NA,NA,NA_Rep1
G9,Rep2,M18,NA,NA,NA_Rep2
G9,Rep3,N17,NA,NA,NA_Rep3
G9,Rep4,N18,NA,NA,NA_Rep4
H9,Rep1,O17,NA,NA,NA_Rep1
H9,Rep2,O18,NA,NA,NA_Rep2
H9,Rep3,P17,NA,NA,NA_Rep3
H9,Rep4,P18,NA,NA,NA_Rep4
A10,Rep1,A19,NA,NA,NA_Rep1
A10,Rep2,A20,NA,NA,NA_Rep2
A10,Rep3,B19,NA,NA,NA_Rep3
A10,Rep4,B20,NA,NA,NA_Rep4
B10,Rep1,C19,NA,NA,NA_Rep1
B10,Rep2,C20,NA,NA,NA_Rep2
B10,Rep3,D19,NA,NA,NA_Rep3
B10,Rep4,D20,NA,NA,NA_Rep4
C10,Rep1,E19,NA,NA,NA_Rep1
C10,Rep2,E20,NA,NA,NA_Rep2
C10,Rep3,F19,NA,NA,NA_Rep3
C10,Rep4,F20,NA,NA,NA_Rep4
D10,Rep1,G19,NA,NA,NA_Rep1
D10,Rep2,G20,NA,NA,NA_Rep2
D10,Rep3,H19,NA,NA,NA_Rep3
D10,Rep4,H20,NA,NA,NA_Rep4
E10,Rep1,I19,NA,NA,NA_Rep1
E10,Rep2,I20,NA,NA,NA_Rep2
E10,Rep3,J19,NA,NA,NA_Rep3
E10,Rep4,J20,NA,NA,NA_Rep4
F10,Rep1,K19,NA,NA,NA_Rep1
F10,Rep2,K20,NA,NA,NA_Rep2
F10,Rep3,L19,NA,NA,NA_Rep3
F10,Rep4,L20,NA,NA,NA_Rep4
G10,Rep1,M19,NA,NA,NA_Rep1
G10,Rep2,M20,NA,NA,NA_Rep2
G10,Rep3,N19,NA,NA,NA_Rep3
G10,Rep4,N20,NA,NA,NA_Rep4
H10,Rep1,O19,NA,NA,NA_Rep1
H10,Rep2,O20,NA,NA,NA_Rep2
H10,Rep3,P19,NA,NA,NA_Rep3
H10,Rep4,P20,NA,NA,NA_Rep4
A11,Rep1,A21,NA,NA,NA_Rep1
A11,Rep2,A22,NA,NA,NA_Rep2
A11,Rep3,B21,NA,NA,NA_Rep3
A11,Rep4,B22,NA,NA,NA_Rep4
B11,Rep1,C21,NA,NA,NA_Rep1
B11,Rep2,C22,NA,NA,NA_Rep2
B11,Rep3,D21,NA,NA,NA_Rep3
B11,Rep4,D22,NA,NA,NA_Rep4
C11,Rep1,E21,NA,NA,NA_Rep1
C11,Rep2,E22,NA,NA,NA_Rep2
C11,Rep3,F21,NA,NA,NA_Rep3
C11,Rep4,F22,NA,NA,NA_Rep4
D11,Rep1,G21,NA,NA,NA_Rep1
D11,Rep2,G22,NA,NA,NA_Rep2
D11,Rep3,H21,NA,NA,NA_Rep3
D11,Rep4,H22,NA,NA,NA_Rep4
E11,Rep1,I21,NA,NA,NA_Rep1
E11,Rep2,I22,NA,NA,NA_Rep2
E11,Rep3,J21,NA,NA,NA_Rep3
E11,Rep4,J22,NA,NA,NA_Rep4
F11,Rep1,K21,NA,NA,NA_Rep1
F11,Rep2,K22,NA,NA,NA_Rep2
F11,Rep3,L21,NA,NA,NA_Rep3
F11,Rep4,L22,NA,NA,NA_Rep4
G11,Rep1,M21,NA,NA,NA_Rep1
G11,Rep2,M22,NA,NA,NA_Rep2
G11,Rep3,N21,NA,NA,NA_Rep3
G11,Rep4,N22,NA,NA,NA_Rep4
H11,Rep1,O21,NA,NA,NA_Rep1
H11,Rep2,O22,NA,NA,NA_Rep2
H11,Rep3,P21,NA,NA,NA_Rep3
H11,Rep4,P22,NA,NA,NA_Rep4
A12,Rep1,A23,NA,NA,NA_Rep1
A12,Rep2,A24,NA,NA,NA_Rep2
A12,Rep3,B23,NA,NA,NA_Rep3
A12,Rep4,B24,NA,NA,NA_Rep4
B12,Rep1,C23,NA,NA,NA_Rep1
B12,Rep2,C24,NA,NA,NA_Rep2
B12,Rep3,D23,NA,NA,NA_Rep3
B12,Rep4,D24,NA,NA,NA_Rep4
C12,Rep1,E23,NA,NA,NA_Rep1
C12,Rep2,E24,NA,NA,NA_Rep2
C12,Rep3,F23,NA,NA,NA_Rep3
C12,Rep4,F24,NA,NA,NA_Rep4
D12,Rep1,G23,NA,NA,NA_Rep1
D12,Rep2,G24,NA,NA,NA_Rep2
D12,Rep3,H23,NA,NA,NA_Rep3
D12,Rep4,H24,NA,NA,NA_Rep4
E12,Rep1,I23,NA,NA,NA_Rep1
E12,Rep2,I24,NA,NA,NA_Rep2
E12,Rep3,J23,NA,NA,NA_Rep3
E12,Rep4,J24,NA,NA,NA_Rep4
F12,Rep1,K23,NA,NA,NA_Rep1
F12,Rep2,K24,NA,NA,NA_Rep2
F12,Rep3,L23,NA,NA,NA_Rep3
F12,Rep4,L24,NA,NA,NA_Rep4
G12,Rep1,M23,NA,NA,NA_Rep1
G12,Rep2,M24,NA,NA,NA_Rep2
G12,Rep3,N23,NA,NA,NA_Rep3
G12,Rep4,N24,NA,NA,NA_Rep4
H12,Rep1,O23,NA,NA,NA_Rep1
H12,Rep2,O24,NA,NA,NA_Rep2
H12,Rep3,P23,NA,NA,NA_Rep3
H12,Rep4,P24,NA,NA,NA_Rep4
