taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Coprococcus comes	30	10	2.427	2.576	2.222	-0.2739	2.211	-0.119	0.3853	0.5649	0.9954	0.2788	0.9249	0.119
Coprococcus sp. CAG:131	30	10	-7.327	-7.44	-7.322	0.2105	8.572	0.02934	0.4766	0.9453	0.9954	0.7576	0.931	0.02934
Coprococcus sp.	30	10	-2.448	-2.476	-2.341	0.07177	4.792	0.01815	0.4883	0.9006	0.9954	0.8985	0.9515	0.01815
Coprococcus sp. AF16-22	30	10	-3.138	-3.023	-3.138	-0.08994	5.254	-0.01624	0.4906	0.9843	0.9954	0.9406	0.964	0.01624
[Eubacterium] rectale	30	10	5.439	5.445	5.439	0.1201	3.268	0.03745	0.4734	0.9409	0.9954	0.8735	0.947	0.03745
Lachnospiraceae bacterium	30	10	4.7	4.705	4.449	-0.07799	1.297	-0.06216	0.4275	0.76	0.9954	0.6414	0.9253	0.06216
Dorea longicatena	30	10	3.574	3.607	3.555	-0.146	1.544	-0.0858	0.4399	0.565	0.9954	0.5303	0.9249	0.0858
Anaerostipes hadrus	30	10	4.001	4.395	3.98	-0.3531	1.505	-0.22	0.3875	0.3149	0.9954	0.2665	0.9249	0.22
[Ruminococcus] gnavus	30	10	0.9753	1.04	0.9478	-0.1087	2.103	-0.06039	0.4618	0.8206	0.9954	0.7351	0.9278	0.06039
[Ruminococcus] torques	30	10	3.809	3.76	3.82	0.0009804	1.85	0.0002468	0.4992	0.9134	0.9954	0.9118	0.9551	0.0002468
Blautia obeum	30	10	2.872	2.997	2.74	-0.5062	2.158	-0.231	0.3744	0.4832	0.9954	0.3064	0.9249	0.231
Blautia wexlerae	30	10	3.422	3.639	3.402	-0.1484	1.93	-0.07278	0.4446	0.7344	0.9954	0.5477	0.9249	0.07278
uncultured Blautia sp.	30	10	4.263	4.314	4.236	-0.1789	1.314	-0.1405	0.3953	0.5063	0.9954	0.303	0.9249	0.1405
Blautia sp. BIOML-A1	30	10	0.2987	0.4428	0.03661	-0.2111	2.888	-0.07693	0.4524	0.8021	0.9954	0.7011	0.9255	0.07693
Fusicatenibacter saccharivorans	30	10	3.263	3.366	3.018	-0.2608	2.27	-0.1199	0.4141	0.686	0.9954	0.5374	0.9249	0.1199
[Eubacterium] eligens	30	10	1.874	1.795	2.225	0.3582	2.461	0.1456	0.4297	0.5791	0.9954	0.5533	0.9249	0.1456
Eubacterium ramulus	30	10	0.4894	0.7313	0.4561	-0.3185	3.085	-0.1	0.4353	0.6815	0.9954	0.485	0.9249	0.1
Eubacterium sp.	30	10	2.085	1.813	2.443	0.3518	2.316	0.1759	0.4025	0.5307	0.9954	0.3915	0.9249	0.1759
Oscillibacter sp.	30	10	2.039	2.16	1.994	-0.1599	1.738	-0.09136	0.4321	0.7304	0.9954	0.5543	0.9249	0.09136
Ruminococcus callidus	30	10	2.087	2.195	1.972	0.02834	8.223	0.005067	0.4938	0.9412	0.9954	0.9203	0.9569	0.005067
Ruminococcus bicirculans	30	10	0.1481	0.05346	0.1703	0.3025	7.947	0.03886	0.4368	0.7101	0.9954	0.6713	0.9255	0.03886
uncultured Ruminococcus sp.	30	10	3.946	4.28	3.899	-0.1797	1.941	-0.09479	0.4025	0.6038	0.9954	0.338	0.9249	0.09479
Ruminococcus sp. AM28-13	30	10	0.4516	0.4364	0.452	0.0432	7.086	0.005428	0.4805	0.9413	0.9954	0.9065	0.9559	0.005428
Gemmiger formicilis	30	10	3.254	3.432	3.236	-0.341	1.875	-0.1715	0.4047	0.3844	0.9954	0.3337	0.9249	0.1715
Faecalibacterium prausnitzii	30	10	7.072	7.007	7.136	-0.06926	1.792	-0.02216	0.4789	0.9218	0.9954	0.8723	0.9473	0.02216
Faecalibacterium sp.	30	10	2.066	1.973	2.109	0.1121	2.889	0.02585	0.4587	0.8372	0.9954	0.6345	0.925	0.02585
Faecalibacterium sp. AF27-11BH	30	10	2.355	2.644	2.241	-0.1359	3.013	-0.04711	0.4462	0.9287	0.9954	0.6706	0.9249	0.04711
Faecalibacterium sp. BIOML-A1	30	10	2.346	2.575	2.262	-0.244	2.96	-0.05115	0.4477	0.9145	0.9954	0.6936	0.9253	0.05115
Subdoligranulum sp. 60_17	30	10	1.43	1.784	1.422	-0.5795	2.474	-0.1986	0.3891	0.455	0.9954	0.3692	0.9249	0.1986
Ruminococcaceae bacterium	30	10	4.887	5.049	4.833	-0.3208	1.547	-0.2169	0.4016	0.4727	0.9954	0.4321	0.9249	0.2169
Clostridiales bacterium	30	10	3.907	4.195	3.893	-0.2609	1.597	-0.1843	0.3781	0.5716	0.9954	0.2496	0.9249	0.1843
Clostridiales bacterium UBA7739	30	10	-0.05438	0.763	-0.07369	-0.3899	5.106	-0.06574	0.4469	0.7315	0.9954	0.5096	0.9249	0.06574
Coprobacillus sp. AF21-8LB	30	10	-4.686	-3.363	-4.898	-1.145	5.662	-0.1777	0.3916	0.4559	0.9954	0.2623	0.9249	0.1777
Erysipelotrichaceae bacterium	30	10	-3.751	-3.714	-3.769	-0.1974	5.67	-0.04277	0.4337	0.8128	0.9954	0.5309	0.9249	0.04277
Megamonas funiformis	30	10	-7.292	-6.779	-7.405	-0.6081	8.309	-0.07325	0.4431	0.8105	0.9954	0.6179	0.9249	0.07325
Megamonas rupellensis	30	10	-10.49	-9.686	-10.57	-0.51	11.81	-0.04597	0.4618	0.864	0.9954	0.7666	0.9365	0.04597
Megamonas sp. Calf98-2	30	10	-11.86	-12.39	-11.73	0.5588	15.81	0.0545	0.4228	0.8403	0.9954	0.5553	0.9315	0.0545
Megasphaera massiliensis	30	10	-8.823	-8.694	-8.907	-0.03019	2.127	-0.002483	0.4961	0.9616	0.9954	0.8171	0.9444	0.002483
Dialister sp. Marseille-P5638	30	10	-7.754	-8.348	-7.505	0.2361	4.493	0.04671	0.4711	0.8362	0.9954	0.7272	0.9313	0.04671
Firmicutes bacterium CAG:65_45_313	30	10	-0.4128	-0.5973	-0.3322	0.2267	4.633	0.04448	0.4462	0.8666	0.9954	0.6386	0.9249	0.04448
Firmicutes bacterium AF22-6AC	30	10	-1.187	-1.384	-1.145	0.2272	5.152	0.04025	0.4602	0.8375	0.9954	0.6403	0.9249	0.04025
Bifidobacterium adolescentis	30	10	3.971	4.536	3.531	-0.4584	7.884	-0.07236	0.4321	0.8026	0.9954	0.5732	0.9249	0.07236
Bifidobacterium longum	30	10	3.451	3.811	3.291	-0.7487	4.859	-0.1496	0.3859	0.6774	0.9954	0.4	0.9249	0.1496
Collinsella aerofaciens	30	10	2.615	2.967	2.615	-0.4973	5	-0.1055	0.4353	0.6882	0.9954	0.4901	0.9249	0.1055
Collinsella stercoris	30	10	-5.595	-4.987	-5.743	-0.8368	3.743	-0.1581	0.3422	0.5709	0.9954	0.1629	0.9249	0.1581
Bacteroides thetaiotaomicron	30	10	2.372	2.264	2.516	0.2053	2.726	0.07149	0.4531	0.7484	0.9954	0.7216	0.9267	0.07149
Bacteroides uniformis	30	10	5.897	5.864	5.985	0.2755	2.984	0.08872	0.4306	0.6957	0.9954	0.5594	0.9249	0.08872
Bacteroides vulgatus	30	10	6.155	5.946	6.27	0.3476	3.942	0.08181	0.4234	0.7733	0.9954	0.546	0.9249	0.08181
Bacteroides eggerthii	30	10	-1.488	-1.677	-1.448	0.2073	8.724	0.03269	0.415	0.8771	0.9954	0.4998	0.9249	0.03269
Bacteroides ovatus	30	10	4.733	4.508	4.977	0.3028	3.77	0.08424	0.3891	0.6839	0.9954	0.3624	0.9249	0.08424
Bacteroides stercoris	30	10	-0.8297	-1.101	-0.7416	0.2122	7.34	0.03142	0.4602	0.8963	0.9954	0.6425	0.9249	0.03142
Bacteroides caccae	30	10	3.94	3.729	4.076	0.3049	3.935	0.07524	0.4212	0.7638	0.9954	0.5193	0.9249	0.07524
Bacteroides massiliensis	30	10	-2.667	-2.927	-2.361	0.07592	4.674	0.01744	0.4696	0.8558	0.9954	0.7558	0.9313	0.01744
Bacteroides cellulosilyticus	30	10	3.243	3.166	3.322	0.1435	6.76	0.02351	0.4328	0.8938	0.9954	0.6236	0.9249	0.02351
Bacteroides coprocola	30	10	-7.856	-8.683	-7.739	0.9392	7.765	0.1265	0.4119	0.6688	0.9954	0.3883	0.9249	0.1265
Bacteroides intestinalis	30	10	0.8935	0.7482	0.9381	0.2666	5.61	0.05396	0.4328	0.877	0.9954	0.6942	0.9256	0.05396
Bacteroides dorei	30	10	3.586	3.267	3.819	0.4365	3.668	0.09296	0.4119	0.7044	0.9954	0.4501	0.9249	0.09296
Bacteroides xylanisolvens	30	10	2.596	2.412	2.692	0.1844	1.857	0.09139	0.4359	0.6353	0.9954	0.5051	0.9249	0.09139
Bacteroides mediterraneensis	30	10	-4.179	-4.408	-4.121	0.2547	4.953	0.06112	0.4493	0.7666	0.9954	0.6164	0.9249	0.06112
Bacteroides coprocola CAG:162	30	10	-6.934	-7.911	-6.808	1.228	9.635	0.146	0.2859	0.645	0.9954	0.05776	0.9249	0.146
Bacteroides sp.	30	10	0.1418	-0.3086	0.2791	0.4727	3.625	0.1473	0.4212	0.7077	0.9954	0.5545	0.9249	0.1473
Bacteroides sp. NMBE5	30	10	-1.263	-1.478	-1.246	0.3442	4.864	0.08279	0.4399	0.726	0.9954	0.5968	0.9249	0.08279
Bacteroides sp. AF39-10AT	30	10	-1.994	-2.114	-1.908	0.325	6.036	0.06626	0.4297	0.7664	0.9954	0.556	0.9249	0.06626
Bacteroidaceae bacterium	30	10	-0.1529	-0.1529	-0.1757	0.3786	3.32	0.1084	0.4469	0.7235	0.9954	0.6555	0.9249	0.1084
Alistipes putredinis	30	10	2.89	2.89	2.723	-0.3123	6.178	-0.04602	0.4734	0.9854	0.9954	0.9224	0.9547	0.04602
Alistipes onderdonkii	30	10	2.813	2.402	2.817	0.4113	3.146	0.1319	0.4353	0.7573	0.9954	0.6685	0.9249	0.1319
Alistipes sp. 3BBH6	30	10	-0.3677	-0.3677	-0.4285	0.102	5.116	0.02535	0.4781	0.8541	0.9954	0.81	0.9395	0.02535
Prevotella copri	30	10	-3.987	-4.004	-3.987	0.3216	8.461	0.06536	0.4125	0.8199	0.9954	0.4657	0.9249	0.06536
Prevotella sp.	30	10	-3.791	-3.946	-3.476	0.1431	5.916	0.0269	0.4727	0.8399	0.9954	0.7074	0.9269	0.0269
Prevotella sp. AM23-5	30	10	-7.172	-7.324	-6.83	0.8064	6.173	0.1226	0.4009	0.6369	0.9954	0.325	0.9249	0.1226
Parabacteroides distasonis	30	10	4.475	4.35	4.655	0.3352	3.849	0.0877	0.415	0.7423	0.9954	0.5322	0.9249	0.0877
Parabacteroides merdae	30	10	2.641	2.414	2.648	0.2454	2.953	0.07991	0.4477	0.7783	0.9954	0.7229	0.927	0.07991
Coprococcus sp. AF16-5	30	10	-3.211	-2.88	-3.273	-0.0003601	4.341	-2.987e-05	0.5	0.9878	0.9955	0.9489	0.9688	2.987e-05
Coprococcus sp. AF38-1	30	10	-4.545	-4.443	-4.623	-0.1598	4.725	-0.03502	0.4859	0.9864	0.9955	0.9011	0.9518	0.03502
