taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
unclassified Clostridiales (miscellaneous)	30	10	2.056	2.161	2.042	-0.05282	1.463	-0.03059	0.4609	0.9013	0.9772	0.6627	0.9689	0.03059
Coprobacillus	30	10	-1.056	-0.1871	-1.111	-0.8546	2.475	-0.2999	0.3526	0.2175	0.9772	0.1613	0.9689	0.2999
unclassified Erysipelotrichaceae	30	10	-1.783	-1.741	-1.873	-0.1625	2.108	-0.04468	0.4836	0.7418	0.9772	0.8766	0.9692	0.04468
Mitsuokella	30	10	-8.98	-8.877	-9.038	0.1386	8.428	0.02424	0.454	0.877	0.9772	0.7556	0.9691	0.02424
Megamonas	30	10	-8.888	-8.709	-8.957	-0.1002	11.06	-0.01149	0.4805	0.9345	0.9772	0.8632	0.9703	0.01149
Megasphaera	30	10	-8.181	-8.228	-8.167	0.1429	2.238	0.03094	0.4359	0.9127	0.9772	0.5686	0.9689	0.03094
Dialister	30	10	-0.02982	0.1895	-0.07183	-0.169	8.637	-0.02311	0.4328	0.9537	0.9772	0.5858	0.9689	0.02311
unclassified Firmicutes sensu stricto (miscellaneous)	30	10	0.8758	0.9993	0.8498	-0.09881	2.214	-0.04256	0.4469	0.9771	0.9772	0.5451	0.9689	0.04256
Bifidobacterium	30	10	2.169	2.526	1.829	-0.5629	2.58	-0.2089	0.4328	0.3779	0.9772	0.4691	0.9689	0.2089
Collinsella	30	10	1.207	1.207	0.9916	-0.3814	5.005	-0.06905	0.4453	0.7039	0.9772	0.5352	0.9689	0.06905
Bacteroides	30	10	5.736	5.466	5.799	0.3047	2.494	0.126	0.4375	0.5678	0.9772	0.4558	0.9689	0.126
unclassified Bacteroidaceae	30	10	-2.925	-3.272	-2.904	0.3381	3.331	0.08617	0.4587	0.6115	0.9772	0.5778	0.9689	0.08617
Alistipes	30	10	2.427	2.168	2.427	0.2116	1.975	0.1097	0.4446	0.7421	0.9772	0.7312	0.9689	0.1097
Prevotella	30	10	-3.746	-3.909	-3.418	0.3763	6.125	0.06959	0.4063	0.7228	0.9772	0.3668	0.9689	0.06959
Parabacteroides	30	10	2.719	2.148	2.843	0.3991	2.698	0.1564	0.3853	0.507	0.9772	0.2721	0.9689	0.1564
