taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Coprococcus sp.	30	10	-2.615	-2.615	-2.577	0.1573	4.698	0.0305	0.4727	0.9554	0.9962	0.9262	0.9979	0.0305
Coprococcus sp. AF38-1	30	10	-5.212	-5.005	-5.313	-0.1617	4.534	-0.03003	0.4789	0.9722	0.9962	0.7316	0.9979	0.03003
[Eubacterium] rectale	30	10	5.488	5.349	5.565	0.02009	3.439	0.004264	0.4961	0.9352	0.9962	0.8765	0.9979	0.004264
Lachnospiraceae bacterium	30	10	5.033	5.033	4.997	-0.0181	1.245	-0.016	0.4875	0.869	0.9962	0.9391	0.9979	0.016
Dorea longicatena	30	10	3.81	3.968	3.787	-0.2492	1.668	-0.1411	0.3922	0.5681	0.9962	0.3718	0.9979	0.1411
Dorea sp. OM07-5	30	10	-0.04424	0.2171	-0.2168	-0.2935	3.482	-0.1005	0.4188	0.7382	0.9962	0.5364	0.9979	0.1005
Anaerostipes hadrus	30	10	3.743	4.092	3.597	-0.5277	1.417	-0.3258	0.3281	0.215	0.9962	0.1499	0.9979	0.3258
Blautia obeum	30	10	3.025	3.385	2.941	-0.354	1.872	-0.2079	0.3672	0.4606	0.9962	0.3136	0.9979	0.2079
Blautia wexlerae	30	10	2.926	3.184	2.827	-0.251	1.813	-0.1508	0.3813	0.5501	0.9962	0.3924	0.9979	0.1508
uncultured Blautia sp.	30	10	3.577	3.654	3.554	-0.2311	1.394	-0.177	0.4041	0.4164	0.9962	0.3951	0.9979	0.177
Blautia sp. BIOML-A1	30	10	1.411	1.454	1.196	-0.03111	2.957	-0.01104	0.4875	0.9232	0.9962	0.9663	0.998	0.01104
[Clostridium] bolteae	30	10	0.6909	0.6792	0.6917	0.002841	2.45	0.001564	0.4977	0.9602	0.9962	0.9445	0.9979	0.001564
Anaerobutyricum hallii	30	10	3.021	3.368	2.932	-0.5993	2.179	-0.2893	0.3744	0.2925	0.9962	0.2736	0.9979	0.2893
Eubacterium ramulus	30	10	1.125	1.262	1.089	-0.1914	3.214	-0.06401	0.4391	0.7572	0.9962	0.5628	0.9979	0.06401
Eubacterium ventriosum	30	10	1.606	1.729	1.464	-0.3234	4.166	-0.07332	0.4259	0.7788	0.9962	0.5354	0.9979	0.07332
Eubacterium sp. CAG:38	30	10	0.8565	0.3295	0.8752	0.5589	5.855	0.09538	0.39	0.7161	0.9962	0.412	0.9979	0.09538
Eubacterium sp. CAG:86	30	10	1.464	1.066	1.645	0.3431	4.855	0.06145	0.4633	0.7016	0.9962	0.6367	0.9979	0.06145
Eubacterium sp.	30	10	2.712	2.538	2.971	0.4651	2.306	0.2067	0.4125	0.5114	0.9962	0.3561	0.9979	0.2067
Oscillibacter sp.	30	10	2.795	2.706	2.795	0.1971	1.688	0.08847	0.4672	0.9295	0.9962	0.9567	0.9981	0.08847
Ruminococcus callidus	30	10	1.8	1.943	1.695	-0.1578	8.689	-0.02038	0.4406	0.9126	0.9962	0.6159	0.9979	0.02038
Ruminococcus lactaris	30	10	2.167	2.083	2.334	0.01608	2.996	0.00524	0.4899	0.9747	0.9962	0.9638	0.9984	0.00524
Ruminococcus bicirculans	30	10	-0.673	-0.6824	-0.661	0.1312	7.425	0.02184	0.468	0.76	0.9962	0.7975	0.9979	0.02184
uncultured Ruminococcus sp.	30	10	4.462	4.71	4.446	-0.1751	1.621	-0.1166	0.4243	0.5851	0.9962	0.4326	0.9979	0.1166
Ruminococcus sp. AM28-13	30	10	-0.1488	-0.1475	-0.1764	0.03431	6.903	0.004058	0.493	0.947	0.9962	0.9542	0.998	0.004058
Gemmiger formicilis	30	10	3.696	3.801	3.633	-0.3199	1.756	-0.1811	0.4181	0.4618	0.9962	0.4201	0.9979	0.1811
Faecalibacterium prausnitzii	30	10	7.704	7.81	7.704	-0.03052	1.479	-0.01264	0.4781	0.9924	0.9962	0.9019	0.9979	0.01264
Faecalibacterium sp. CAG:82-related_59_9	30	10	1.379	1.371	1.538	-0.09086	3.646	-0.02332	0.4602	0.9431	0.9962	0.648	0.9979	0.02332
Faecalibacterium sp.	30	10	2.459	2.369	2.513	0.1326	2.545	0.03764	0.4509	0.8292	0.9962	0.6821	0.9979	0.03764
Subdoligranulum sp. 60_17	30	10	1.606	1.892	1.606	-0.5987	2.452	-0.1509	0.4259	0.4962	0.9962	0.4692	0.9979	0.1509
Ruminococcaceae bacterium	30	10	5.391	5.453	5.231	-0.2367	1.82	-0.1327	0.3891	0.5897	0.9962	0.3414	0.9979	0.1327
Ruminococcaceae bacterium UBA6855	30	10	-5.401	-5.164	-5.408	0.06313	2.626	0.01538	0.4836	0.9706	0.9962	0.9255	0.998	0.01538
Flavonifractor plautii	30	10	3.297	3.256	3.297	0.1253	1.409	0.07903	0.4446	0.7201	0.9962	0.6336	0.9979	0.07903
Clostridiales bacterium	30	10	4.585	4.653	4.529	-0.1611	1.276	-0.117	0.3938	0.67	0.9962	0.4157	0.9979	0.117
Clostridiales bacterium UBA7739	30	10	1.022	1.556	0.8614	-0.3508	5.061	-0.07224	0.4359	0.8122	0.9962	0.6485	0.9979	0.07224
Clostridia bacterium	30	10	-1.702	-1.645	-1.741	-0.09098	3.045	-0.03454	0.4275	0.9085	0.9962	0.6234	0.9979	0.03454
Coprobacillus sp. AF21-8LB	30	10	-4.559	-3.184	-4.738	-0.9433	5.366	-0.1572	0.3797	0.4964	0.9962	0.2035	0.9979	0.1572
Erysipelotrichaceae bacterium	30	10	-3.788	-3.486	-3.904	-0.2047	6.48	-0.04179	0.4203	0.8275	0.9962	0.4554	0.9979	0.04179
Megamonas funiformis	30	10	-6.641	-6.064	-6.878	-0.5847	8.982	-0.05722	0.4609	0.8436	0.9962	0.7603	0.9979	0.05722
Megamonas rupellensis	30	10	-9.535	-9.185	-9.561	-0.3075	10.77	-0.02844	0.4766	0.9114	0.9962	0.8519	0.9979	0.02844
Megamonas sp. Calf98-2	30	10	-10.84	-11.59	-10.66	0.7504	15.58	0.07222	0.4094	0.8028	0.9962	0.3975	0.9979	0.07222
Megasphaera massiliensis	30	10	-7.823	-7.635	-7.859	-0.1446	2.164	-0.02077	0.4656	0.9632	0.9962	0.7974	0.9979	0.02077
Dialister sp. Marseille-P5638	30	10	-6.654	-7.269	-6.394	0.3013	4.436	0.06233	0.4547	0.7739	0.9962	0.5867	0.9979	0.06233
Firmicutes bacterium CAG:65_45_313	30	10	-0.354	-0.5394	-0.332	0.1583	4.425	0.03152	0.4594	0.8894	0.9962	0.6187	0.9979	0.03152
Firmicutes bacterium AF22-6AC	30	10	-0.7977	-1.024	-0.7348	0.2223	4.959	0.04038	0.4446	0.8214	0.9962	0.6042	0.9979	0.04038
Bifidobacterium adolescentis	30	10	4.565	5.082	4.133	-0.4799	8.186	-0.06035	0.4406	0.8241	0.9962	0.5332	0.9979	0.06035
Bifidobacterium longum	30	10	3.854	4.195	3.752	-0.6002	4.639	-0.09859	0.4275	0.6938	0.9962	0.5173	0.9979	0.09859
Coriobacteriaceae bacterium	30	10	1.135	1.293	1.025	-0.5761	4.607	-0.1168	0.4063	0.6258	0.9962	0.3912	0.9979	0.1168
Collinsella aerofaciens	30	10	2.743	3.075	2.732	-0.6424	5.073	-0.1152	0.425	0.7057	0.9962	0.5173	0.9979	0.1152
Collinsella stercoris	30	10	-4.454	-3.779	-4.487	-0.6591	3.49	-0.1186	0.3807	0.6493	0.9962	0.2702	0.9979	0.1186
Bacteroides thetaiotaomicron	30	10	2.061	1.959	2.169	0.1348	2.322	0.0556	0.4609	0.791	0.9962	0.6567	0.9979	0.0556
Bacteroides uniformis	30	10	3.814	3.814	3.875	0.05367	2.688	0.01654	0.4821	0.8269	0.9962	0.7804	0.9979	0.01654
Bacteroides vulgatus	30	10	4.457	4.319	4.479	0.0821	3.738	0.02747	0.4758	0.9001	0.9962	0.7851	0.9979	0.02747
Bacteroides eggerthii	30	10	-0.8337	-1.118	-0.769	0.3044	8.637	0.05369	0.3969	0.8245	0.9962	0.3379	0.9979	0.05369
Bacteroides ovatus	30	10	3.78	3.524	3.956	0.09191	3.698	0.02136	0.4633	0.7774	0.9962	0.7036	0.9979	0.02136
Bacteroides stercoris	30	10	-0.4428	-0.698	-0.3212	0.2006	7.138	0.04971	0.4321	0.8767	0.9962	0.5947	0.9979	0.04971
Bacteroides caccae	30	10	3.978	3.761	4.062	0.1135	3.696	0.03525	0.4688	0.8285	0.9962	0.712	0.9979	0.03525
Bacteroides cellulosilyticus	30	10	2.956	2.823	2.995	0.09577	6.148	0.01729	0.4688	0.9044	0.9962	0.6929	0.9979	0.01729
Bacteroides plebeius	30	10	-0.45	-0.5947	-0.2945	0.3936	3.774	0.1154	0.4025	0.6608	0.9962	0.3929	0.9979	0.1154
Bacteroides coprocola	30	10	-7.626	-8.504	-7.45	0.882	8.798	0.1179	0.3953	0.6542	0.9962	0.3301	0.9979	0.1179
Bacteroides intestinalis	30	10	0.634	0.4693	0.6812	0.08893	5.136	0.01533	0.4696	0.895	0.9962	0.7459	0.9979	0.01533
Bacteroides xylanisolvens	30	10	1.577	1.429	1.594	0.1231	2.16	0.05199	0.4446	0.7775	0.9962	0.4841	0.9979	0.05199
Bacteroides oleiciplenus	30	10	-1.042	-1.159	-1.016	0.372	3.806	0.1121	0.4275	0.7333	0.9962	0.5988	0.9979	0.1121
Bacteroides mediterraneensis	30	10	-3.191	-3.511	-3.115	0.4024	5.019	0.07552	0.4197	0.6945	0.9962	0.4296	0.9979	0.07552
Bacteroides coprocola CAG:162	30	10	-7.2	-7.915	-7.09	1.074	7.943	0.1511	0.3047	0.6476	0.9962	0.076	0.9979	0.1511
Bacteroides sp.	30	10	0.4317	-0.1004	0.4485	0.3307	3.386	0.1032	0.4422	0.6853	0.9962	0.5531	0.9979	0.1032
Bacteroides sp. AF39-10AT	30	10	-4.347	-4.346	-4.347	0.3147	5.646	0.05266	0.4531	0.8309	0.9962	0.7449	0.9979	0.05266
Bacteroidaceae bacterium	30	10	0.2971	0.1628	0.3181	0.313	3.193	0.09415	0.4181	0.7385	0.9962	0.5419	0.9979	0.09415
Alistipes putredinis	30	10	2.888	2.953	2.72	-0.1549	6.399	-0.02161	0.4805	0.9831	0.9962	0.888	0.9979	0.02161
Alistipes onderdonkii	30	10	1.015	0.9414	1.015	-0.1132	3.18	-0.03501	0.4711	0.9436	0.9962	0.9634	0.998	0.03501
Prevotella copri	30	10	-3.998	-4.301	-3.907	0.4016	9.077	0.06433	0.4	0.8293	0.9962	0.4403	0.9979	0.06433
Prevotella sp.	30	10	-3.398	-3.77	-3.257	0.245	6.24	0.04921	0.4337	0.8132	0.9962	0.4968	0.9979	0.04921
Prevotella sp. AM23-5	30	10	-6.7	-6.932	-6.214	0.8633	6.803	0.1143	0.3885	0.6115	0.9962	0.3118	0.9979	0.1143
Parabacteroides distasonis	30	10	1.77	1.607	1.77	0.2193	3.173	0.05065	0.4571	0.7884	0.9962	0.7182	0.9979	0.05065
Parabacteroides merdae	30	10	2.035	1.92	2.035	-0.01315	3.568	-0.003789	0.4899	0.8993	0.9962	0.9859	0.9983	0.003789
Oscillospiraceae bacterium UBA6359	30	10	-3.954	-3.925	-3.956	-0.03472	5.328	-0.005398	0.493	0.9721	0.9963	0.9508	0.9979	0.005398
