feature	group1	group2	percentchange	p	p.adj	p.format	p.signif	method
Shannon Entropy	OF	OR	-0.1% [-1.4%, 1.2%]	0.88	0.88	0.88		NA
Inv Simpson	OF	OR	-2.3% [-7.7%, 3.4%]	0.42	0.42	0.42		NA
DNAConcentration	OF	OH	21.8% [-26.7%, 102.5%]	0.45	0.45	0.45		NA
Relative Abundance: Firmicutes	OF	OH	4.6% [-4.4%, 14.4%]	0.33	0.33	0.33		NA
Relative Abundance: Bacteroidetes	OF	OH	-3.1% [-11.6%, 6.2%]	0.5	0.5	0.5		NA
Relative Abundance: Actinobacteria	OF	OH	-27.4% [-40.5%, -11.5%] **	0.002	0.002	0.002	**	NA
Relative Abundance: Other Bacteria	OF	OH	5.2% [-3.3%, 14.5%]	0.24	0.24	0.24		NA
Relative Abundance: Viruses	OF	OH	55.5% [30.6%, 85.0%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Fungi	OF	OH	4.1% [-4.6%, 13.5%]	0.37	0.37	0.37		NA
Relative Abundance: Unclassified + Root	OF	OH	3.5% [-0.3%, 7.5%]	0.07	0.07	0.07		NA
Relative Abundance: Unclassified	OF	OH	9.4% [3.0%, 16.3%] **	0.004	0.004	0.004	**	NA
Richness 0.01%	OF	OH	1.7% [-0.5%, 3.9%]	0.14	0.14	0.14		NA
Richness 0.001%	OF	OH	3.8% [-0.3%, 8.2%]	0.07	0.07	0.07		NA
Richness 0.0001%	OF	OH	4.2% [-0.6%, 9.1%]	0.09	0.09	0.09		NA
Richness 0.00001%	OF	OH	1.4% [-1.0%, 3.9%]	0.26	0.26	0.26		NA
Richness Any%	OF	OH	-0.8% [-3.4%, 1.9%]	0.56	0.56	0.56		NA
Shannon Entropy	OF	OH	0.4% [-3.6%, 4.6%]	0.85	0.85	0.85		NA
Inv Simpson	OF	OH	1.7% [-9.5%, 14.3%]	0.78	0.78	0.78		NA
DNAConcentration	ZF	ZR	-41.7% [-55.3%, -24.0%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Firmicutes	ZF	ZR	-12.2% [-17.9%, -6.2%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Bacteroidetes	ZF	ZR	16.1% [7.8%, 25.0%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Actinobacteria	ZF	ZR	-12.2% [-23.5%, 0.7%]	0.06	0.06	0.06		NA
Relative Abundance: Other Bacteria	ZF	ZR	10.4% [2.1%, 19.4%] *	0.013	0.013	0.013	*	NA
Relative Abundance: Viruses	ZF	ZR	42.5% [23.0%, 65.2%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Fungi	ZF	ZR	-0.0% [-6.7%, 7.1%]	1	1	1		NA
Relative Abundance: Unclassified + Root	ZF	ZR	5.4% [2.4%, 8.5%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Unclassified	ZF	ZR	3.6% [-0.7%, 8.0%]	0.1	0.1	0.1		NA
Richness 0.01%	ZF	ZR	1.1% [-0.7%, 2.9%]	0.22	0.22	0.22		NA
Richness 0.001%	ZF	ZR	-0.6% [-2.9%, 1.7%]	0.6	0.6	0.6		NA
Richness 0.0001%	ZF	ZR	0.6% [-2.3%, 3.7%]	0.68	0.68	0.68		NA
Richness 0.00001%	ZF	ZR	-0.6% [-2.7%, 1.6%]	0.6	0.6	0.6		NA
Richness Any%	ZF	ZR	-1.0% [-2.8%, 0.7%]	0.24	0.24	0.24		NA
Shannon Entropy	ZF	ZR	-3.7% [-6.5%, -0.9%] **	0.009	0.009	0.009	**	NA
Inv Simpson	ZF	ZR	-13.5% [-20.9%, -5.3%] **	0.002	0.002	0.002	**	NA
DNAConcentration	ZF	ZH	-48.1% [-61.1%, -30.9%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Firmicutes	ZF	ZH	-17.1% [-22.7%, -11.0%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Bacteroidetes	ZF	ZH	26.2% [18.0%, 34.8%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Actinobacteria	ZF	ZH	-36.4% [-48.6%, -21.2%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Other Bacteria	ZF	ZH	25.3% [18.1%, 32.9%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Viruses	ZF	ZH	70.8% [44.8%, 101.4%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Fungi	ZF	ZH	9.2% [3.0%, 15.9%] **	0.003	0.003	0.003	**	NA
Relative Abundance: Unclassified + Root	ZF	ZH	11.0% [6.8%, 15.4%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Unclassified	ZF	ZH	9.3% [5.4%, 13.4%] ***	< 0.001	0.001	0.001	***	NA
Richness 0.01%	ZF	ZH	1.4% [-1.4%, 4.3%]	0.323	0.323	0.323		NA
Richness 0.001%	ZF	ZH	1.5% [-1.3%, 4.4%]	0.3	0.3	0.3		NA
Richness 0.0001%	ZF	ZH	2.2% [0.1%, 4.5%] *	0.04	0.04	0.04	*	NA
Richness 0.00001%	ZF	ZH	1.6% [-0.0%, 3.2%] *	0.05	0.05	0.05	*	NA
Richness Any%	ZF	ZH	-1.0% [-2.7%, 0.7%]	0.26	0.26	0.26		NA
Shannon Entropy	ZF	ZH	-5.8% [-9.2%, -2.4%] ***	0.001	0.001	0.001	***	NA
Inv Simpson	ZF	ZH	-20.0% [-27.0%, -12.3%] ***	< 0.001	0.001	0.001	***	NA
Actinobacteria: Eggerthella	NF	OF	-33.6% [-42.9%, -22.7%] *	0	0	0	*	NA
Actinobacteria: Collinsella	NF	OF	-32.3% [-39.7%, -23.9%] *	0	0	0	*	NA
Actinobacteria: Bifidobacterium	NF	OF	-25.9% [-37.5%, -12.2%] *	0	0	0	*	NA
Bacteroidetes: Odoribacter	NF	OF	39.7% [16.5%, 67.5%] *	0	0	0	*	NA
Bacteroidetes: Parabacteroides	NF	OF	55.8% [28.1%, 89.6%] *	0	0	0	*	NA
Bacteroidetes: Prevotella	NF	OF	43.2% [25.5%, 63.4%] *	0	0	0	*	NA
Bacteroidetes: Alistipes	NF	OF	72.2% [41.2%, 109.9%] *	0	0	0	*	NA
Bacteroidetes: Bacteroides	NF	OF	53.8% [37.2%, 72.4%] *	0	0	0	*	NA
Firmicutes: Lachnospiraceae: environmental sam...	NF	OF	-16.3% [-25.0%, -6.7%] *	0	0	0	*	NA
Firmicutes: Fusicatenibacter	NF	OF	-19.9% [-25.9%, -13.3%] *	0	0	0	*	NA
Firmicutes: Clostridiales: environmental samples	NF	OF	-7.6% [-27.9%, 18.4%]	1	1	1		NA
Firmicutes: unclassified Oscillospiraceae	NF	OF	-10.7% [-23.6%, 4.5%]	1	1	1		NA
Firmicutes: Lachnospira	NF	OF	-26.2% [-36.1%, -14.9%] *	0	0	0	*	NA
Firmicutes: Anaerobutyricum	NF	OF	-20.6% [-26.9%, -13.7%] *	0	0	0	*	NA
Firmicutes: Flavonifractor	NF	OF	-21.1% [-32.0%, -8.5%] *	0	0	0	*	NA
Firmicutes: unclassified Clostridiaceae	NF	OF	-5.2% [-15.8%, 6.7%]	1	1	1		NA
Firmicutes: Lachnoclostridium	NF	OF	-22.5% [-28.1%, -16.5%] *	0	0	0	*	NA
Firmicutes: Coprobacillus	NF	OF	-24.7% [-31.6%, -17.0%] *	0	0	0	*	NA
Firmicutes: Streptococcus	NF	OF	-5.4% [-25.3%, 19.8%]	1	1	1		NA
Firmicutes: Anaerostipes	NF	OF	-26.8% [-35.6%, -16.8%] *	0	0	0	*	NA
Firmicutes: Butyricicoccus	NF	OF	-13.4% [-22.1%, -3.8%] *	0	0	0	*	NA
Firmicutes: Gemmiger	NF	OF	-30.3% [-36.9%, -22.9%] *	0	0	0	*	NA
Firmicutes: Subdoligranulum	NF	OF	-29.4% [-36.3%, -21.7%] *	0	0	0	*	NA
Firmicutes: unclassified Firmicutes sensu stri...	NF	OF	-23.5% [-29.9%, -16.4%] *	0	0	0	*	NA
Firmicutes: Oscillibacter	NF	OF	-10.8% [-20.3%, -0.1%] *	0	0	0	*	NA
Firmicutes: Dorea	NF	OF	-24.2% [-32.0%, -15.6%] *	0	0	0	*	NA
Firmicutes: Firmicutes: environmental samples	NF	OF	-37.8% [-45.4%, -29.2%] *	0	0	0	*	NA
Firmicutes: unclassified Clostridiales (miscel...	NF	OF	-33.5% [-40.5%, -25.7%] *	0	0	0	*	NA
Firmicutes: Coprococcus	NF	OF	-20.1% [-29.5%, -9.5%] *	0	0	0	*	NA
Firmicutes: Eubacterium	NF	OF	-13.8% [-25.9%, 0.3%] *	0	0	0	*	NA
Firmicutes: Roseburia	NF	OF	-6.9% [-23.2%, 12.9%]	1	1	1		NA
Firmicutes: Clostridium	NF	OF	1.4% [-14.6%, 20.3%]	1	1	1		NA
Firmicutes: unclassified Ruminococcaceae	NF	OF	-36.6% [-44.0%, -28.2%] *	0	0	0	*	NA
Firmicutes: unclassified Lachnospiraceae	NF	OF	-22.5% [-28.7%, -15.8%] *	0	0	0	*	NA
Firmicutes: Blautia	NF	OF	-20.0% [-27.3%, -11.9%] *	0	0	0	*	NA
Firmicutes: Ruminococcus	NF	OF	-11.5% [-22.6%, 1.3%]	1	1	1		NA
Firmicutes: Faecalibacterium	NF	OF	-35.9% [-44.1%, -26.4%] *	0	0	0	*	NA
Actinobacteria: Eggerthella	NF	ZF	-38.3% [-52.0%, -20.7%] *	0	0	0	*	NA
Actinobacteria: Collinsella	NF	ZF	-31.9% [-39.5%, -23.3%] *	0	0	0	*	NA
Actinobacteria: Bifidobacterium	NF	ZF	-17.9% [-35.7%, 4.8%]	1	1	1		NA
Bacteroidetes: Odoribacter	NF	ZF	19.3% [2.2%, 39.3%] *	0	0	0	*	NA
Bacteroidetes: Parabacteroides	NF	ZF	30.5% [6.7%, 59.6%] *	0	0	0	*	NA
Bacteroidetes: Prevotella	NF	ZF	39.4% [17.9%, 64.9%] *	0	0	0	*	NA
Bacteroidetes: Alistipes	NF	ZF	41.9% [23.5%, 62.9%] *	0	0	0	*	NA
Bacteroidetes: Bacteroides	NF	ZF	27.2% [13.4%, 42.7%] *	0	0	0	*	NA
Firmicutes: Lachnospiraceae: environmental sam...	NF	ZF	-13.1% [-19.4%, -6.3%] *	0	0	0	*	NA
Firmicutes: Fusicatenibacter	NF	ZF	2.3% [-9.8%, 16.0%]	1	1	1		NA
Firmicutes: Clostridiales: environmental samples	NF	ZF	-3.2% [-14.0%, 8.9%]	1	1	1		NA
Firmicutes: unclassified Oscillospiraceae	NF	ZF	27.3% [12.3%, 44.3%] *	0	0	0	*	NA
Firmicutes: Lachnospira	NF	ZF	4.1% [-4.6%, 13.5%]	1	1	1		NA
Firmicutes: Anaerobutyricum	NF	ZF	-20.8% [-34.9%, -3.6%] *	0	0	0	*	NA
Firmicutes: Flavonifractor	NF	ZF	-1.5% [-9.9%, 7.6%]	1	1	1		NA
Firmicutes: unclassified Clostridiaceae	NF	ZF	-1.3% [-14.4%, 13.9%]	1	1	1		NA
Firmicutes: Lachnoclostridium	NF	ZF	-15.6% [-22.3%, -8.3%] *	0	0	0	*	NA
Firmicutes: Coprobacillus	NF	ZF	-35.2% [-44.0%, -25.1%] *	0	0	0	*	NA
Firmicutes: Streptococcus	NF	ZF	-19.5% [-39.1%, 6.4%]	1	1	1		NA
Firmicutes: Anaerostipes	NF	ZF	-24.8% [-31.7%, -17.2%] *	0	0	0	*	NA
Firmicutes: Butyricicoccus	NF	ZF	-3.5% [-16.3%, 11.3%]	1	1	1		NA
Firmicutes: Gemmiger	NF	ZF	-16.8% [-25.0%, -7.7%] *	0	0	0	*	NA
Firmicutes: Subdoligranulum	NF	ZF	-13.2% [-20.8%, -4.9%] *	0	0	0	*	NA
Firmicutes: unclassified Firmicutes sensu stri...	NF	ZF	3.9% [-3.7%, 12.1%]	1	1	1		NA
Firmicutes: Oscillibacter	NF	ZF	27.9% [14.9%, 42.3%] *	0	0	0	*	NA
Firmicutes: Dorea	NF	ZF	-19.8% [-29.8%, -8.4%] *	0	0	0	*	NA
Firmicutes: Firmicutes: environmental samples	NF	ZF	-15.8% [-24.2%, -6.4%] *	0	0	0	*	NA
Firmicutes: unclassified Clostridiales (miscel...	NF	ZF	-13.6% [-20.0%, -6.7%] *	0	0	0	*	NA
Firmicutes: Coprococcus	NF	ZF	-3.9% [-11.9%, 4.7%]	1	1	1		NA
Firmicutes: Eubacterium	NF	ZF	-9.9% [-22.1%, 4.2%]	1	1	1		NA
Firmicutes: Roseburia	NF	ZF	-20.8% [-36.2%, -1.6%] *	0	0	0	*	NA
Firmicutes: Clostridium	NF	ZF	1.1% [-12.9%, 17.4%]	1	1	1		NA
Firmicutes: unclassified Ruminococcaceae	NF	ZF	-21.0% [-29.3%, -11.7%] *	0	0	0	*	NA
Firmicutes: unclassified Lachnospiraceae	NF	ZF	-21.4% [-29.3%, -12.6%] *	0	0	0	*	NA
Firmicutes: Blautia	NF	ZF	4.3% [-8.9%, 19.4%]	1	1	1		NA
Firmicutes: Ruminococcus	NF	ZF	0.1% [-8.8%, 9.9%]	1	1	1		NA
Firmicutes: Faecalibacterium	NF	ZF	-18.6% [-27.7%, -8.4%] *	0	0	0	*	NA
Actinobacteria: Eggerthella	OF	OR	-7.9% [-19.5%, 5.4%]	1	1	1		NA
Actinobacteria: Collinsella	OF	OR	-15.1% [-23.5%, -5.8%] *	0	0	0	*	NA
Actinobacteria: Bifidobacterium	OF	OR	-15.5% [-24.8%, -5.1%] *	0	0	0	*	NA
Bacteroidetes: Odoribacter	OF	OR	1.6% [-5.8%, 9.6%]	1	1	1		NA
Bacteroidetes: Parabacteroides	OF	OR	1.3% [-5.7%, 8.8%]	1	1	1		NA
Bacteroidetes: Prevotella	OF	OR	-0.5% [-6.7%, 6.1%]	1	1	1		NA
Bacteroidetes: Alistipes	OF	OR	1.4% [-7.0%, 10.7%]	1	1	1		NA
Bacteroidetes: Bacteroides	OF	OR	-0.2% [-5.6%, 5.6%]	1	1	1		NA
Firmicutes: Lachnospiraceae: environmental sam...	OF	OR	-2.3% [-7.6%, 3.3%]	1	1	1		NA
Firmicutes: Fusicatenibacter	OF	OR	-21.0% [-29.8%, -11.2%] *	0	0	0	*	NA
Firmicutes: Clostridiales: environmental samples	OF	OR	8.0% [-0.4%, 17.0%]	1	1	1		NA
Firmicutes: unclassified Oscillospiraceae	OF	OR	38.5% [21.1%, 58.3%] *	0	0	0	*	NA
Firmicutes: Lachnospira	OF	OR	-31.1% [-41.7%, -18.6%] *	0	0	0	*	NA
Firmicutes: Anaerobutyricum	OF	OR	-12.8% [-24.6%, 0.8%]	1	1	1		NA
Firmicutes: Flavonifractor	OF	OR	18.0% [11.8%, 24.6%] *	0	0	0	*	NA
Firmicutes: unclassified Clostridiaceae	OF	OR	3.2% [-1.5%, 8.1%]	1	1	1		NA
Firmicutes: Lachnoclostridium	OF	OR	-7.7% [-15.0%, 0.2%]	1	1	1		NA
Firmicutes: Coprobacillus	OF	OR	-9.5% [-19.4%, 1.8%]	1	1	1		NA
Firmicutes: Streptococcus	OF	OR	-18.1% [-29.2%, -5.4%] *	0	0	0	*	NA
Firmicutes: Anaerostipes	OF	OR	-21.2% [-27.6%, -14.2%] *	0	0	0	*	NA
Firmicutes: Butyricicoccus	OF	OR	6.0% [-4.6%, 17.8%]	1	1	1		NA
Firmicutes: Gemmiger	OF	OR	-8.1% [-17.8%, 2.8%]	1	1	1		NA
Firmicutes: Subdoligranulum	OF	OR	4.4% [-9.5%, 20.4%]	1	1	1		NA
Firmicutes: unclassified Firmicutes sensu stri...	OF	OR	27.7% [19.4%, 36.7%] *	0	0	0	*	NA
Firmicutes: Oscillibacter	OF	OR	39.4% [29.6%, 50.0%] *	0	0	0	*	NA
Firmicutes: Dorea	OF	OR	-7.6% [-14.1%, -0.6%] *	0	0	0	*	NA
Firmicutes: Firmicutes: environmental samples	OF	OR	28.3% [10.8%, 48.7%] *	0	0	0	*	NA
Firmicutes: unclassified Clostridiales (miscel...	OF	OR	40.3% [24.2%, 58.5%] *	0	0	0	*	NA
Firmicutes: Coprococcus	OF	OR	-10.6% [-16.7%, -4.1%] *	0	0	0	*	NA
Firmicutes: Eubacterium	OF	OR	6.3% [-4.8%, 18.8%]	1	1	1		NA
Firmicutes: Roseburia	OF	OR	-11.5% [-18.6%, -3.8%] *	0	0	0	*	NA
Firmicutes: Clostridium	OF	OR	10.6% [5.0%, 16.5%] *	0	0	0	*	NA
Firmicutes: unclassified Ruminococcaceae	OF	OR	21.0% [10.6%, 32.4%] *	0	0	0	*	NA
Firmicutes: unclassified Lachnospiraceae	OF	OR	-7.2% [-12.8%, -1.3%] *	0	0	0	*	NA
Firmicutes: Blautia	OF	OR	-13.0% [-20.2%, -5.2%] *	0	0	0	*	NA
Firmicutes: Ruminococcus	OF	OR	-8.2% [-17.7%, 2.5%]	1	1	1		NA
Firmicutes: Faecalibacterium	OF	OR	-3.5% [-20.8%, 17.6%]	1	1	1		NA
Actinobacteria: Eggerthella	OF	OH	-9.7% [-30.3%, 17.2%]	1	1	1		NA
Actinobacteria: Collinsella	OF	OH	-27.8% [-42.8%, -8.8%] *	0	0	0	*	NA
Actinobacteria: Bifidobacterium	OF	OH	-32.3% [-44.6%, -17.4%] *	0	0	0	*	NA
Bacteroidetes: Odoribacter	OF	OH	-8.3% [-15.9%, -0.0%]	1	1	1		NA
Bacteroidetes: Parabacteroides	OF	OH	-7.7% [-16.8%, 2.3%]	1	1	1		NA
Bacteroidetes: Prevotella	OF	OH	-2.1% [-9.2%, 5.5%]	1	1	1		NA
Bacteroidetes: Alistipes	OF	OH	-2.8% [-10.6%, 5.6%]	1	1	1		NA
Bacteroidetes: Bacteroides	OF	OH	-5.9% [-14.2%, 3.1%]	1	1	1		NA
Firmicutes: Lachnospiraceae: environmental sam...	OF	OH	-3.6% [-10.7%, 4.1%]	1	1	1		NA
Firmicutes: Fusicatenibacter	OF	OH	-34.4% [-48.3%, -16.7%] *	0	0	0	*	NA
Firmicutes: Clostridiales: environmental samples	OF	OH	10.7% [-2.1%, 25.3%]	1	1	1		NA
Firmicutes: unclassified Oscillospiraceae	OF	OH	43.1% [25.4%, 63.3%] *	0	0	0	*	NA
Firmicutes: Lachnospira	OF	OH	-18.4% [-38.4%, 8.0%]	1	1	1		NA
Firmicutes: Anaerobutyricum	OF	OH	-39.4% [-53.6%, -20.8%] *	0	0	0	*	NA
Firmicutes: Flavonifractor	OF	OH	19.0% [9.2%, 29.7%] *	0	0	0	*	NA
Firmicutes: unclassified Clostridiaceae	OF	OH	2.5% [-2.4%, 7.5%]	1	1	1		NA
Firmicutes: Lachnoclostridium	OF	OH	-0.7% [-10.2%, 9.9%]	1	1	1		NA
Firmicutes: Coprobacillus	OF	OH	-23.1% [-32.0%, -12.9%] *	0	0	0	*	NA
Firmicutes: Streptococcus	OF	OH	-35.5% [-47.5%, -20.8%] *	0	0	0	*	NA
Firmicutes: Anaerostipes	OF	OH	-32.8% [-47.6%, -13.9%] *	0	0	0	*	NA
Firmicutes: Butyricicoccus	OF	OH	-15.2% [-22.8%, -6.9%] *	0	0	0	*	NA
Firmicutes: Gemmiger	OF	OH	-8.8% [-29.0%, 17.0%]	1	1	1		NA
Firmicutes: Subdoligranulum	OF	OH	4.8% [-18.1%, 34.1%]	1	1	1		NA
Firmicutes: unclassified Firmicutes sensu stri...	OF	OH	28.6% [17.3%, 41.0%] *	0	0	0	*	NA
Firmicutes: Oscillibacter	OF	OH	42.7% [28.2%, 58.8%] *	0	0	0	*	NA
Firmicutes: Dorea	OF	OH	-19.9% [-36.2%, 0.5%]	1	1	1		NA
Firmicutes: Firmicutes: environmental samples	OF	OH	27.2% [4.3%, 55.1%] *	0	0	0	*	NA
Firmicutes: unclassified Clostridiales (miscel...	OF	OH	48.5% [27.5%, 72.9%] *	0	0	0	*	NA
Firmicutes: Coprococcus	OF	OH	-17.1% [-30.4%, -1.3%] *	0	0	0	*	NA
Firmicutes: Eubacterium	OF	OH	-5.4% [-20.0%, 11.9%]	1	1	1		NA
Firmicutes: Roseburia	OF	OH	-7.6% [-15.5%, 1.0%]	1	1	1		NA
Firmicutes: Clostridium	OF	OH	19.5% [7.5%, 32.9%] *	0	0	0	*	NA
Firmicutes: unclassified Ruminococcaceae	OF	OH	52.8% [32.7%, 76.0%] *	0	0	0	*	NA
Firmicutes: unclassified Lachnospiraceae	OF	OH	-13.5% [-25.8%, 0.9%]	1	1	1		NA
Firmicutes: Blautia	OF	OH	-26.1% [-43.6%, -3.1%] *	0	0	0	*	NA
Firmicutes: Ruminococcus	OF	OH	-10.4% [-27.1%, 10.1%]	1	1	1		NA
Firmicutes: Faecalibacterium	OF	OH	37.4% [18.1%, 59.7%] *	0	0	0	*	NA
Actinobacteria: Eggerthella	ZF	ZR	0.8% [-14.3%, 18.4%]	1	1	1		NA
Actinobacteria: Collinsella	ZF	ZR	-4.3% [-15.2%, 7.9%]	1	1	1		NA
Actinobacteria: Bifidobacterium	ZF	ZR	-21.1% [-33.0%, -7.1%] *	0	0	0	*	NA
Bacteroidetes: Odoribacter	ZF	ZR	11.3% [3.8%, 19.3%] *	0	0	0	*	NA
Bacteroidetes: Parabacteroides	ZF	ZR	17.7% [7.6%, 28.8%] *	0	0	0	*	NA
Bacteroidetes: Prevotella	ZF	ZR	15.0% [-0.4%, 32.8%] *	0	0	0	*	NA
Bacteroidetes: Alistipes	ZF	ZR	21.9% [6.8%, 39.0%] *	0	0	0	*	NA
Bacteroidetes: Bacteroides	ZF	ZR	17.1% [7.4%, 27.8%] *	0	0	0	*	NA
Firmicutes: Lachnospiraceae: environmental sam...	ZF	ZR	-6.7% [-14.7%, 2.2%]	1	1	1		NA
Firmicutes: Fusicatenibacter	ZF	ZR	-23.6% [-34.7%, -10.5%] *	0	0	0	*	NA
Firmicutes: Clostridiales: environmental samples	ZF	ZR	5.3% [-5.5%, 17.3%]	1	1	1		NA
Firmicutes: unclassified Oscillospiraceae	ZF	ZR	14.3% [2.7%, 27.1%] *	0	0	0	*	NA
Firmicutes: Lachnospira	ZF	ZR	-27.4% [-40.0%, -12.2%] *	0	0	0	*	NA
Firmicutes: Anaerobutyricum	ZF	ZR	-51.8% [-63.0%, -37.1%] *	0	0	0	*	NA
Firmicutes: Flavonifractor	ZF	ZR	11.5% [4.8%, 18.5%] *	0	0	0	*	NA
Firmicutes: unclassified Clostridiaceae	ZF	ZR	3.6% [-0.6%, 7.9%]	1	1	1		NA
Firmicutes: Lachnoclostridium	ZF	ZR	5.9% [-2.4%, 14.8%]	1	1	1		NA
Firmicutes: Coprobacillus	ZF	ZR	-21.2% [-32.6%, -7.9%] *	0	0	0	*	NA
