Sample,Patient,Sample_Type,Replication,Relative.Abundance..Firmicutes,Relative.Abundance..Bacteroidetes,Relative.Abundance..Actinobacteria,Relative.Abundance..Other.Bacteria,Relative.Abundance..Viruses,Relative.Abundance..Fungi,Relative.Abundance..Unclassified...Root,Relative.Abundance..Unclassified,Ratio.of.Bacteroidetes.to.Firmicutes,Richness.0.01.,Richness.0.001.,Richness.0.0001.,Richness.0.00001.,Richness.Any.,Shannon.Entropy,Inv.Simpson,Firmicutes..Faecalibacterium,Firmicutes..unclassified.Clostridiales..miscellaneous.,Firmicutes..Firmicutes..environmental.samples,Firmicutes..unclassified.Ruminococcaceae,Firmicutes..Ruminococcus,Firmicutes..Clostridium,Firmicutes..Roseburia,Firmicutes..Oscillibacter,Firmicutes..Butyricicoccus,Firmicutes..Clostridiales..environmental.samples,Firmicutes..Coprococcus,Firmicutes..unclassified.Lachnospiraceae,Firmicutes..Megamonas,Firmicutes..Gemmiger,Firmicutes..Eubacterium,Firmicutes..unclassified.Oscillospiraceae,Firmicutes..unclassified.Firmicutes.sensu.stricto..miscellaneous.,Firmicutes..Subdoligranulum,Firmicutes..Flavonifractor,Firmicutes..Blautia,Firmicutes..Dialister,Firmicutes..Dorea,Firmicutes..Streptococcus,Firmicutes..Lachnoclostridium,Firmicutes..Megasphaera,Firmicutes..Neglecta,Firmicutes..Intestinimonas,Firmicutes..Lachnospiraceae..environmental.samples,Firmicutes..unclassified.Clostridiaceae,Firmicutes..Anaerotruncus,Firmicutes..Candidatus.Borkfalkia,Bacteroidetes..Bacteroides,Bacteroidetes..Alistipes,Bacteroidetes..Prevotella,Bacteroidetes..Parabacteroides,Bacteroidetes..Odoribacter,Bacteroidetes..Butyricimonas,Bacteroidetes..unclassified.Rikenellaceae,Bacteroidetes..Prevotellaceae..environmental.samples,Actinobacteria..Collinsella,Actinobacteria..Bifidobacterium,Actinobacteria..Enterorhabdus,Actinobacteria..Eggerthella,Proteobacteria..Azospirillum,Proteobacteria..Sutterella,Proteobacteria..Bilophila,Lentisphaerae..unclassified.Lentisphaeria,Basidiomycota..Malassezia,null..Tobamovirus,null..Viruses..environmental.samples,Verrucomicrobia..Akkermansia,RNAConcentration,RawReads,DeduplicatedReads,TrimmedReads,HostRemovedReads,OrphanReads,rRNARemovedReads
D01-ZF-R2,D01,ZF,R2,0.258151946,0.613224871,0.003641556,0.037641116,0.04952689,0.001021439,0.036715531,0.036219687,2.375441597,70,236,859,2133,2635,2.108958498,3.489013044,0.07304992,0.04468264,0.012022353,0.022537444,0.039613787,0.01007171,0.008157213,0.003773393,0.007728899,0.004326473,0.002219913,0.002764058,3.86e-06,0.002048523,0.001250623,0.000729425,0.001273366,0.014909755,0.000890378,0.001225483,0.005935472,0.001039309,0.000244617,0.000324058,2.47e-05,0.000100763,0.000176386,0.000387944,0.001558435,0.000122613,0.00643352,0.086143708,0.514381064,0.000176264,0.024537961,0.013461871,1.08e-05,0.007533343,9.02e-05,4.8e-05,0.000397407,0.000490615,0.00040756,6.78e-06,2.42e-05,0.001363164,5.56e-06,4.84e-05,0.060055109,0.00178567,0.000584555,6.92,76020843,76020843,64955850,32039370,10271125,31509693
D01-ZF-R3,D01,ZF,R3,0.230677256,0.640363387,0.002274746,0.038019413,0.056069388,0.000601433,0.031928609,0.031520301,2.776014407,65,196,706,2026,2601,2.065549291,3.5005849,0.056178801,0.035554306,0.008082193,0.01643929,0.054799685,0.008357351,0.007158441,0.002840994,0.005147117,0.003784893,0.0023037,0.002927842,2.5e-06,0.001473705,0.001390908,0.00072195,0.001402773,0.014877435,0.000638502,0.001667151,0.004611089,0.0012332,0.000273639,0.000298959,1.16e-05,6.53e-05,0.000143565,0.00031104,0.001527167,9.8e-05,0.006711143,0.11083767,0.509666945,0.000179701,0.027528324,0.013744069,7.78e-06,0.008603535,8.61e-05,2.77e-05,0.000162989,0.000359076,0.000286045,5.82e-06,1.14e-05,0.001116004,3.44e-06,6.53e-05,0.065851027,0.002746803,0.000711315,6.36,73495673,73495673,69751972,35192230,2566229,34746778
D01-ZH-R1,D01,ZH,R1,0.317515155,0.542811087,0.003030469,0.055783956,0.04213742,0.001254453,0.037394377,0.036840964,1.709559619,79,220,855,2001,2001,2.394385735,6.134450313,0.165054164,0.027905358,0.006995009,0.020523587,0.042112887,0.012622053,0.005792179,0.006946635,0.004482766,0.005191564,0.002441569,0.002383131,6.98e-06,0.001289743,0.002453233,0.000929168,0.001152855,0.013137584,0.001147938,0.001868972,0.002174769,0.00124743,0.000492088,0.000444629,1.8e-05,7.09e-05,0.000274691,0.000378529,0.001216782,0.000142263,0.006290213,0.257784144,0.244403661,0.000296076,0.056195192,0.008629659,1.46e-05,0.003539874,9.38e-05,2.57e-05,0.000312429,0.000310943,0.000428618,6.06e-06,3.35e-05,0.007052074,4.57e-07,7.78e-05,0.051787446,0.002995982,0.003234993,15.8,41486797,41486797,32806967,12277151,4904309,11708571
D01-ZH-R2,D01,ZH,R2,0.261200572,0.593549835,0.003011435,0.065014439,0.032004176,0.002535933,0.042634864,0.041901503,2.272391023,89,269,952,1587,1587,2.284492176,4.687560436,0.088331886,0.022084079,0.004309548,0.013370118,0.034938528,0.015167393,0.012547336,0.008879698,0.002896902,0.002716399,0.001843047,0.002646265,1.14e-05,0.000744527,0.005415081,0.000351039,0.00125466,0.007887857,0.001086338,0.001055332,0.00105607,0.000635635,0.000580635,0.001225868,4.43e-06,3.91e-05,0.000143959,0.000496475,0.001365767,0.000111845,0.002887674,0.398382342,0.195180984,0.000460669,0.062507821,0.011191905,2.4e-05,0.002049757,0.000226643,2.95e-05,0.000201543,0.000128087,0.000217784,4.47e-05,0.000116275,0.009712078,2.95e-06,0.00081946,0.045091711,0.002512273,0.001804289,14.1,60402033,60402033,13930975,4507451,9030215,4130222
D01-ZH-R3,D01,ZH,R3,0.336948921,0.511677988,0.007552904,0.05124409,0.03351728,0.004164211,0.05480123,0.053993483,1.518562474,95,331,1179,2081,2081,2.501411027,5.501744108,0.092465697,0.03415936,0.013420226,0.034348112,0.065465393,0.020285586,0.009377848,0.010085535,0.006316442,0.005528557,0.003723215,0.003256119,5.24e-06,0.002604245,0.002333128,0.000982056,0.00205045,0.009738555,0.001800285,0.002442044,0.00493647,0.001521401,0.000773254,0.000659822,2.08e-05,0.000114155,0.00035565,0.000581069,0.001402008,0.000176831,0.002931718,0.162096654,0.369383411,0.000225961,0.029867539,0.007260024,7.59e-06,0.005631874,9.18e-05,5e-05,0.000220181,0.000574386,0.000548015,1.55e-05,3.31e-05,0.006925327,3.07e-06,0.001611533,0.041786955,0.003223246,0.001908118,7.7,62082410,62082410,25989438,8483526,18576365,7642213
D01-ZR-R1,D01,ZR,R1,0.403849525,0.320308938,0.007642537,0.037226215,0.183124018,0.001130528,0.046621728,0.045889619,0.79313932,86,273,926,2085,2602,2.75806156,8.593951383,0.126849038,0.038169217,0.013294228,0.039770399,0.06662168,0.02043947,0.012291674,0.006971176,0.011122531,0.00584344,0.00705294,0.005299161,4.59e-06,0.003470612,0.003424615,0.000931939,0.001935235,0.027484846,0.001733317,0.004763233,0.005617823,0.003103853,0.000648649,0.00067484,1.85e-05,0.000125401,0.00028259,0.000643227,0.001882329,0.000175553,0.011246271,0.101715552,0.149813802,0.000200126,0.022755412,0.009208196,9.23e-06,0.002291501,0.000128768,6.16e-05,0.000544192,0.001670966,0.001358075,9.58e-06,4.22e-05,0.007148128,6.3e-06,6.13e-05,0.239252809,0.004534642,0.001418677,4,78748689,78748689,74913825,32032826,3290220,31340312
D01-ZR-R2,D01,ZR,R2,0.693271879,0.125886285,0.020332313,0.027476687,0.047275295,0.002488622,0.083094649,0.082228923,0.181582852,115,421,1316,2199,2199,3.055859924,10.43128559,0.245979905,0.066895309,0.039103486,0.075435412,0.078443602,0.029532424,0.032749347,0.006966637,0.040231589,0.008518681,0.019840307,0.010331267,1.92e-05,0.01062967,0.003942007,0.000950007,0.003926813,0.017229406,0.001824542,0.009595223,0.009461963,0.006539209,0.000906916,0.001049641,5.21e-05,0.000435897,0.000430667,0.001499487,0.004155721,0.000328293,0.005184938,0.035256131,0.083994943,0.000223678,0.00958526,0.005144337,1.15e-05,0.001100952,9.47e-05,0.000193538,0.001650432,0.00457767,0.003249553,4.58e-05,8.67e-05,0.003631897,2.09e-05,0.000459062,0.063347852,0.000792337,0.001050886,19.9,58552870,58552870,14557768,6007661,5335496,5608126
D01-ZR-R3,D01,ZR,R3,0.20664737,0.676823035,0.003368515,0.073417912,0.01437564,0.000546181,0.024779029,0.024453248,3.275255981,66,193,662,1966,2490,1.881374309,2.830237763,0.06603292,0.018094588,0.007541103,0.021882678,0.039318086,0.009382572,0.006285979,0.003190443,0.005870817,0.002360006,0.002449169,0.002191016,1.78e-06,0.002175557,0.000888645,0.000408207,0.001143964,0.005696837,0.000652187,0.001910146,0.003720017,0.001222695,0.000201231,0.00023487,1.18e-05,6.85e-05,0.000117851,0.000297235,0.001023202,6.37e-05,0.002364882,0.107527356,0.577139242,0.000139509,0.017995409,0.018132763,6.99e-06,0.008739948,6.76e-05,3.31e-05,0.000209887,0.000482667,0.000465394,4.42e-06,0.000180707,0.001745956,2.8e-06,9.48e-05,0.016970884,0.000480437,0.000424347,4.8,69387631,69387631,62291898,33425885,4410110,32960040
D02-NF-R1,D02,NF,R1,0.677960085,0.191336209,0.009938283,0.021490852,0.032205991,0.000939663,0.065892286,0.065026985,0.282223412,85,289,970,2006,2327,2.888586267,9.542682636,0.128979097,0.219280595,0.018224633,0.03828656,0.045641181,0.031608168,0.039176664,0.033675203,0.009781898,0.015376064,0.003631503,0.015812289,8.87e-06,0.014700611,0.01092694,0.052921375,0.008054029,0.006316205,0.002320028,0.006559633,2.37e-05,0.00069023,0.004663853,0.002416621,1.21e-05,0.001646052,0.000731216,0.001728491,0.001892824,0.002254777,3.89e-06,0.1642477,0.027316067,0.000249805,0.005402069,0.002040125,0.007902139,0.000760225,4.72e-05,0.000888938,0.001851838,0.001739223,0.002006683,1.92e-05,2.84e-05,0.003968335,3.58e-06,8.18e-05,0.025101654,0.009706769,4.61e-05,85.8,58361888,58361888,48093299,21985093,4625705,17358581
D02-NF-R2,D02,NF,R2,0.720259397,0.129826913,0.013829456,0.028836496,0.024133464,0.002565428,0.080307851,0.079166782,0.180250218,105,359,1198,1914,1914,3.004329402,9.994356823,0.14043784,0.228178212,0.025713557,0.040673967,0.062103119,0.036879256,0.034378378,0.03067255,0.014740299,0.010878506,0.006470001,0.017302389,1.93e-05,0.022056783,0.013219647,0.032694635,0.008235499,0.007162197,0.002235488,0.00866524,2.31e-05,0.000946686,0.006993655,0.002698768,1.34e-05,0.002077846,0.000726575,0.001764241,0.00173657,0.002726859,1.68e-06,0.122702777,0.013458205,0.000214241,0.003333107,0.00123891,0.010100781,0.000393265,4.82e-05,0.001338693,0.00279394,0.001865701,0.002468595,2.68e-05,4.65e-05,0.006449876,7.55e-06,0.000926143,0.020108487,0.008028385,1.22e-05,348,58381720,58381720,11148943,4351882,11250341,3387842
D02-NF-R3,D02,NF,R3,0.695861097,0.172580536,0.013407057,0.026472617,0.02002467,0.002598357,0.068773068,0.06775243,0.248010036,91,317,1108,2010,2326,2.82978621,8.336887836,0.12907081,0.265738426,0.020085847,0.037672169,0.037445184,0.02764884,0.023116593,0.041729377,0.008486194,0.01878428,0.002682379,0.010575012,6.68e-06,0.014866749,0.01246563,0.061322585,0.007003594,0.005528884,0.002597151,0.004684842,1.24e-05,0.000509286,0.003461481,0.001661119,1.48e-05,0.00133564,0.000844995,0.001178884,0.001301567,0.002218177,3.29e-06,0.143225997,0.022948652,0.0001493,0.005768701,0.001972205,0.00944234,0.00069188,4.98e-05,0.001195704,0.001826199,0.002145868,0.002769947,1.92e-05,1.4e-05,0.006868426,1.99e-06,0.001310237,0.017209343,0.005759597,2.12e-05,260,99951800,99951800,44926625,20059667,9155869,15373776
D02-OF-R1,D02,OF,R1,0.61322852,0.235565136,0.006502976,0.037607743,0.008407407,0.000732113,0.097766071,0.096760145,0.384139237,91,301,969,2169,2607,2.768434824,7.650409388,0.103840964,0.216449821,0.027354693,0.02641318,0.02510674,0.046931605,0.018207338,0.034057674,0.007821797,0.015538343,0.002406881,0.022699817,9.46e-06,0.019791624,0.007793141,0.03952251,0.01391227,0.007178693,0.002216944,0.004575391,2.89e-05,0.000715198,0.007870767,0.001323618,2.22e-05,0.0022309,0.000812809,0.001569422,0.002228712,0.002653263,1.34e-05,0.252471532,0.009942079,0.000280612,0.007562284,0.004727713,0.004124661,0.000255053,6.69e-05,0.000564445,0.001020048,0.001786611,0.001150774,1.9e-05,3.73e-05,0.002962779,3.22e-06,4e-05,0.004576382,0.003978533,2.72e-05,15.1,80149603,80149603,76657982,35811774,1883455,34442664
D02-OF-R2,D02,OF,R2,0.584556877,0.242123646,0.010725702,0.04254306,0.022473121,0.002191749,0.09517146,0.093879311,0.41420032,96,362,1243,2477,2477,2.882905818,8.207390401,0.108589939,0.18216965,0.02591236,0.024417809,0.029773209,0.062755713,0.015222304,0.027295294,0.010603581,0.012558133,0.003426104,0.023605028,2.14e-05,0.017384984,0.00918051,0.023429033,0.011149381,0.005450783,0.001933469,0.004487037,3.43e-05,0.00079384,0.007122457,0.001535929,1.8e-05,0.003807972,0.000637011,0.001461404,0.001800993,0.003734124,1.43e-05,0.258670929,0.011278587,0.000276339,0.006492211,0.005482126,0.006570682,0.000275437,8.83e-05,0.000576016,0.001043796,0.006376873,0.001496355,1.51e-05,3.07e-05,0.004233585,2.93e-06,0.000156603,0.016231938,0.008507646,3.12e-05,63.4,59668157,59668157,39992089,14421965,14491907,13161969
D02-OF-R3,D02,OF,R3,0.53319279,0.293754762,0.004902889,0.051260646,0.039726127,0.000785145,0.076240466,0.07504563,0.550935361,87,276,956,2338,2885,2.787152349,6.899108039,0.085789588,0.097117235,0.021530695,0.016633653,0.030606008,0.078110379,0.031393067,0.022067957,0.006091553,0.008667751,0.004085027,0.032250177,1.03e-05,0.023211402,0.0156792,0.026281721,0.008878727,0.005470814,0.001719392,0.006595468,2.39e-05,0.001469869,0.008460242,0.001574587,1.08e-05,0.003226514,0.000552807,0.001871048,0.001849835,0.002654668,7.46e-06,0.338644357,0.0069997,0.000361146,0.005827118,0.009006914,0.004628782,0.000155783,9.98e-05,0.000423822,0.000699923,0.001823862,0.000794516,1.53e-05,1.9e-05,0.002979661,2.94e-06,1.05e-05,0.02820576,0.014856483,2.21e-05,9.54,71034055,71034055,66619639,55448728,3836335,53365758
D02-OR-R1,D02,OR,R1,0.240562303,0.085241204,0.010588505,0.020841074,0.591550781,0.005147314,0.045738611,0.044725077,0.354341488,99,374,976,1576,1576,2.103369,3.404611776,0.025191456,0.072666497,0.009616085,0.009684736,0.017317089,0.009721258,0.008438605,0.008695644,0.002969126,0.007277306,0.001183952,0.007203569,4.16e-05,0.007866046,0.003813518,0.009093223,0.004318582,0.003266616,0.000711018,0.00198928,0.000230457,0.000685361,0.001239659,0.000526792,6.24e-06,0.000730435,0.00022514,0.000449819,0.000664095,0.000561695,4.67e-05,0.049337419,0.023914119,0.000245482,0.003581443,0.001291899,0.000613935,0.000746847,1.99e-05,0.000233231,0.001217238,0.000753319,0.000629422,2.64e-05,3.63e-05,0.001567893,4.62e-07,0.001672141,0.510382464,0.152318819,0.000407287,13.6,42657384,42657384,20800723,6600545,18191806,5649208
D02-OR-R2,D02,OR,R2,0.173758459,0.081275703,0.044738093,0.055056281,0.537340455,0.025338751,0.081636164,0.078449363,0.467751061,185,703,980,980,980,2.433820224,3.785317392,0.010489968,0.030398285,0.004268619,0.005102102,0.008043103,0.012037864,0.015949277,0.006221349,0.001065666,0.004000714,0.000827529,0.009465976,9.53e-05,0.002905281,0.001982497,0.010775734,0.001696732,0.001166875,0.000779901,0.000869203,3.57e-05,0.000291719,0.001690778,0.000613205,0,0.000410788,0.000101209,0.000750134,0.000321486,0.000130976,0,0.051437757,0.024236471,0.001958683,0.002613562,0.001143061,0.000869203,0.000637019,0.000136929,0.000226231,0.002303983,0.000315533,0.000255998,0.000964458,0.000446508,0.001333571,3.57e-05,0.018687861,0.474626421,0.1824552,4.17e-05,29.2,37142830,37142830,2763728,439935,10540697,249802
